AgentId,Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30
MINNG0001,18-25,Female,20+,Yes,Not at all,Improved,None,Never,None,Very positive,Yes,Important,A little,Unsure,Always,Yes,Religious beliefs,Totally compatible,Unsure,Yes,Yes,Volleyball,Local team,Never,Alone,A lot,No,Local festivities,International music,Frequently
MINNG0002,26-35,Other,20+,Yes,Not at all,Improved,None,Never,None,Very positive,No,Important,A lot,No opinion,Sometimes,Depends,Community opinion,Totally compatible,No,Yes,Yes,Volleyball,National team,Rarely,Neighbours,Moderately,Yes,Religious events,Religious music,Occasionally
MINNG0003,26-35,Female,20+,Yes,Not at all,Improved,None,Never,None,Very positive,Yes,Somewhat important,A lot,Neutral,Sometimes,No,Religious beliefs,Totally compatible,Yes,No,Yes,Athletics,National team,Rarely,Friends,Moderately,No,Local festivities,Religious music,Rarely
MINNG0004,26-35,Female,20+,Yes,Not at all,Improved,None,Never,None,Very positive,No,Not important,A lot,No opinion,Sometimes,No,Community opinion,Incompatible,No,No,Yes,Basketball,National team,Rarely,Family,Moderately,Yes,Religious events,International music,Rarely
MINNG0005,18-25,Female,20+,Yes,Not at all,Improved,None,Never,None,Very positive,Yes,Not important,A lot,Unsure,Sometimes,No,Religious beliefs,Incompatible,No,No,Yes,Football,National team,Rarely,Alone,Moderately,No,Local festivities,Religious music,Never
MINNG0006,26-35,Female,20+,Yes,Not at all,Improved,None,Never,None,Very positive,Yes,Somewhat important,A lot,Against,Sometimes,No,Religious beliefs,Incompatible,No,No,Yes,Volleyball,National team,Rarely,Alone,Moderately,Yes,Religious events,Popular music,Never
MINNG0007,26-35,Female,20+,Yes,Not at all,Improved,None,Never,None,Very positive,Yes,Very important,A lot,Neutral,Sometimes,No,Religious beliefs,Incompatible,No,No,Yes,Volleyball,National team,Rarely,Alone,Moderately,No,Sports events,Popular music,Rarely
MINNG0008,26-35,Female,20+,Yes,Not at all,Improved,None,Never,None,Very positive,Yes,Not important,A lot,Against,Sometimes,No,Community opinion,Incompatible,No,Maybe,Yes,Volleyball,International team,Sometimes,Alone,Moderately,No,Sports events,Popular music,Occasionally
MINNG0009,18-25,Female,20+,Yes,A lot,Improved,None,Never,None,Very positive,Yes,Very important,A lot,No opinion,Sometimes,No,Community opinion,Incompatible,Unsure,Maybe,No,Volleyball,Does not follow football,Sometimes,Neighbours,A little,Yes,Sports events,Popular music,Frequently
MINNG0010,26-35,Female,11-20,Yes,A lot,Improved,None,Never,None,Very positive,Yes,Not important,A lot,Unsure,Sometimes,No,Community opinion,Incompatible,Unsure,Maybe,No,Volleyball,Local team,Sometimes,Friends,Not at all,Yes,Sports events,Popular music,Never
MINNG0011,26-35,Female,11-20,Yes,A lot,Improved,None,Never,None,Positive,Yes,Very important,A lot,Against,Sometimes,No,Community opinion,Incompatible,No,Maybe,No,Volleyball,Does not follow football,Sometimes,Family,Not at all,Yes,Sports events,Popular music,Never
MINNG0012,26-35,Female,20+,Yes,A lot,Improved,None,Never,None,Positive,Yes,Very important,A lot,No opinion,Rarely,Depends,Community opinion,Incompatible,No,Maybe,No,Basketball,Does not follow football,Sometimes,Alone,Not at all,Yes,Sports events,Popular music,Rarely
MINNG0013,26-35,Female,20+,Yes,A lot,Improved,None,Never,None,Positive,Yes,Very important,A lot,Neutral,Sometimes,Depends,Community opinion,A little compatible,No,Maybe,No,Football,Does not follow football,Always,Alone,Not at all,No,Sports events,Popular music,Rarely
MINNG0014,18-25,Female,20+,Yes,A lot,Improved,None,Never,None,Positive,Yes,Very important,A lot,Neutral,Always,Depends,Community opinion,A little compatible,No,Maybe,Yes,Volleyball,Does not follow football,Always,Alone,Not at all,No,Sports events,Popular music,Rarely
MINNG0015,46-60,Female,20+,Yes,A lot,Worsened,None,Never,None,Positive,Yes,Very important,A lot,Neutral,Rarely,Depends,Community opinion,Partially compatible,No,Maybe,No,Basketball,Does not follow football,Always,Alone,Not at all,No,Sports events,Popular music,Occasionally
MINNG0016,46-60,Female,20+,Yes,A lot,Worsened,None,Never,None,Positive,Yes,Very important,A lot,Neutral,Always,Depends,Environmental impact,Incompatible,No,Maybe,Yes,Football,Does not follow football,Always,Neighbours,Not at all,No,Sports events,Popular music,Occasionally
MINNG0017,18-25,Female,20+,Yes,A lot,Worsened,None,Never,None,Negative,Yes,Very important,A lot,Neutral,Sometimes,No,Environmental impact,Incompatible,No,Maybe,No,Volleyball,Does not follow football,Always,Family,A little,No,Sports events,Popular music,Occasionally
MINNG0018,26-35,Female,20+,Yes,A lot,Worsened,None,Never,None,Negative,Yes,Very important,A lot,Neutral,Rarely,No,Environmental impact,Incompatible,No,Maybe,Yes,Basketball,National team,Sometimes,Alone,Moderately,Yes,Sports events,Popular music,Occasionally
MINNG0019,26-35,Other,11-20,Yes,A lot,Worsened,None,Never,None,Negative,Yes,Important,A lot,Neutral,Sometimes,No,Environmental impact,Incompatible,No,Maybe,No,Football,International team,Rarely,Neighbours,A lot,Yes,Sports events,Traditional music,Occasionally
MINNG0020,26-35,Female,11-20,Yes,A lot,Worsened,None,Never,None,Negative,Yes,Important,A lot,Neutral,Always,No,Environmental impact,Incompatible,No,Maybe,Yes,Volleyball,National team,Rarely,Neighbours,Not at all,Yes,Local festivities,Traditional music,Occasionally
MINNG0021,26-35,Female,11-20,Yes,A lot,Worsened,None,Never,None,Negative,Yes,Somewhat important,A lot,Neutral,Sometimes,Yes,Environmental impact,Incompatible,No,Maybe,No,Basketball,International team,Rarely,Neighbours,Not at all,Yes,Local festivities,Traditional music,Occasionally
MINNG0022,26-35,Female,11-20,Yes,A lot,Worsened,None,Never,None,Positive,Yes,Very important,A lot,Neutral,Sometimes,Yes,Environmental impact,Incompatible,No,Maybe,No,Football,Does not follow football,Rarely,Neighbours,A little,Yes,Local festivities,Traditional music,Occasionally
MINNG0023,26-35,Female,20+,Yes,A lot,Worsened,None,Never,None,Positive,Yes,Very important,A lot,Neutral,Sometimes,Yes,Environmental impact,Incompatible,No,Maybe,Yes,Volleyball,Does not follow football,Rarely,Neighbours,Moderately,Yes,Local festivities,Traditional music,Occasionally
MINNG0024,26-35,Female,20+,Yes,A lot,Worsened,None,Never,None,Positive,Yes,Very important,A lot,Neutral,Sometimes,Yes,Environmental impact,Incompatible,No,Maybe,No,Volleyball,Does not follow football,Rarely,Neighbours,Moderately,Yes,Local festivities,Traditional music,Occasionally
MINNG0025,26-35,Female,20+,Yes,A lot,Worsened,None,Never,None,Positive,Yes,Very important,A lot,Neutral,Sometimes,Yes,Environmental impact,Incompatible,No,Maybe,No,Volleyball,Does not follow football,Rarely,Neighbours,Moderately,Yes,Local festivities,Traditional music,Occasionally
MINNG0026,26-35,Female,20+,Yes,A lot,Worsened,None,Never,None,Positive,Yes,Somewhat important,A lot,No opinion,Rarely,Yes,Environmental impact,Incompatible,No,Maybe,Yes,Volleyball,Does not follow football,Rarely,Neighbours,Moderately,Yes,Local festivities,Traditional music,Occasionally
MINNG0027,26-35,Female,20+,Yes,A little,Worsened,None,Never,None,Negative,Yes,Very important,A lot,No opinion,Always,Yes,Environmental impact,Incompatible,No,Maybe,Yes,Volleyball,Does not follow football,Sometimes,Neighbours,Moderately,Yes,Local festivities,Traditional music,Frequently
MINNG0028,18-25,Male,20+,Yes,A little,Maintained,None,Never,None,Very negative,Yes,Somewhat important,A little,No opinion,Always,Yes,Environmental impact,Incompatible,No,Maybe,Yes,Volleyball,Does not follow football,Always,Neighbours,Moderately,Yes,Local festivities,Traditional music,Frequently
MINNG0029,26-35,Male,20+,Yes,A little,Maintained,None,Never,None,Very negative,Yes,Very important,A little,Neutral,Always,Yes,Environmental impact,Incompatible,No,Maybe,Yes,Volleyball,Does not follow football,Always,Neighbours,A lot,Yes,Local festivities,Traditional music,Frequently
MINNG0030,26-35,Male,20+,Yes,A little,Worsened,None,Never,None,Very negative,Yes,Very important,A lot,Neutral,Always,Yes,Environmental impact,Incompatible,No,Maybe,Yes,Volleyball,Does not follow football,Always,Neighbours,A lot,Yes,Local festivities,Traditional music,Frequently
MINNG0031,18-25,Female,20+,Yes,A little,Worsened,None,Never,None,Very negative,Yes,Very important,A lot,Neutral,Always,Yes,Environmental impact,A little compatible,No,Maybe,No,Volleyball,Does not follow football,Always,Neighbours,A lot,Yes,Local festivities,Traditional music,Frequently
MINNG0032,26-35,Female,20+,Yes,A little,Worsened,None,Never,None,Very negative,Yes,Very important,A lot,Neutral,Always,Yes,Environmental impact,Incompatible,Yes,Maybe,No,Football,Does not follow football,Always,Neighbours,A lot,Yes,Religious events,Traditional music,Occasionally
MINNG0033,26-35,Female,20+,Yes,A little,Worsened,None,Never,None,Very negative,Yes,Very important,A lot,Neutral,Always,Yes,Environmental impact,Incompatible,No,Maybe,No,Football,Does not follow football,Always,Neighbours,A lot,Yes,Religious events,Traditional music,Occasionally
MINNG0034,26-35,Female,20+,Yes,A little,Worsened,None,Never,None,Very negative,Yes,Very important,A lot,No opinion,Always,Depends,Environmental impact,Incompatible,No,Maybe,Yes,Volleyball,Does not follow football,Sometimes,Neighbours,A lot,Yes,Sports events,Traditional music,Occasionally
MINNG0035,26-35,Female,20+,Yes,A little,Worsened,None,Never,None,Very negative,Yes,Very important,A lot,No opinion,Always,Depends,Environmental impact,Incompatible,No,No,Yes,Basketball,Does not follow football,Rarely,Neighbours,A lot,Yes,Community meetings,Traditional music,Occasionally
MINNG0036,18-25,Female,20+,Yes,A little,Worsened,None,Never,None,Very negative,Yes,Very important,A lot,No opinion,Always,Depends,Environmental impact,Incompatible,No,Maybe,Yes,Football,Does not follow football,Never,Neighbours,A lot,Yes,None,Religious music,Occasionally
MINNG0037,26-35,Female,20+,Yes,A lot,Worsened,None,Never,None,Very negative,Yes,Very important,A lot,Against,Always,Depends,Environmental impact,Incompatible,No,No,Yes,Volleyball,Does not follow football,Never,Neighbours,A lot,Yes,None,Religious music,Frequently
MINNG0038,26-35,Male,20+,Yes,A lot,Worsened,None,Never,None,Very negative,Yes,Very important,A lot,Against,Always,Depends,Environmental impact,Incompatible,No,Maybe,Yes,Volleyball,Does not follow football,Never,Friends,A lot,Yes,Community meetings,Religious music,Frequently
MINNG0039,26-35,Female,20+,Yes,A lot,Worsened,None,Never,None,Very negative,Yes,Very important,A lot,Against,Always,Yes,Environmental impact,Incompatible,No,Maybe,Yes,Volleyball,Does not follow football,Never,Friends,A lot,Yes,Sports events,Religious music,Frequently
MINNG0040,26-35,Female,20+,Yes,A lot,Worsened,None,Never,None,Very negative,Yes,Very important,A lot,Against,Rarely,Depends,Environmental impact,Incompatible,No,No,Yes,Volleyball,Does not follow football,Never,Friends,A lot,Yes,Religious events,Religious music,Frequently
MINNG0041,26-35,Female,20+,Yes,A lot,Worsened,None,Never,None,Very negative,Yes,Very important,A lot,Against,Always,Yes,Environmental impact,Incompatible,Yes,Maybe,No,Volleyball,Does not follow football,Never,Friends,Moderately,Yes,Religious events,Popular music,Occasionally
MINNG0042,26-35,Female,20+,Yes,A little,Worsened,None,Never,None,Very negative,Yes,Very important,A lot,Against,Always,Yes,Environmental impact,Incompatible,Yes,No,Yes,Volleyball,Does not follow football,Never,Friends,A lot,Yes,Religious events,Popular music,Occasionally
MINNG0043,26-35,Female,20+,Yes,Not at all,Worsened,None,Never,None,Negative,Yes,Very important,A lot,No opinion,Always,Yes,Environmental impact,A little compatible,Yes,Maybe,No,Volleyball,Does not follow football,Never,Friends,A lot,Yes,Religious events,Popular music,Occasionally
MINNG0044,18-25,Female,20+,Yes,Not at all,Maintained,None,Never,None,Positive,Yes,Very important,A lot,No opinion,Always,Yes,Environmental impact,Incompatible,Yes,No,Yes,Volleyball,Does not follow football,Never,Friends,A lot,Yes,Religious events,Popular music,Occasionally
MINNG0045,36-45,Female,20+,Yes,Not at all,Maintained,None,Never,None,Very positive,Yes,Very important,A lot,No opinion,Always,Yes,Environmental impact,Incompatible,Yes,Maybe,No,Volleyball,Does not follow football,Never,Friends,A lot,Yes,Religious events,Popular music,Occasionally
MINNG0046,36-45,Female,20+,Yes,A little,Maintained,None,Never,None,Negative,Yes,Very important,A lot,Against,Always,Yes,Environmental impact,Incompatible,Yes,No,Yes,Basketball,Does not follow football,Never,Friends,A lot,Yes,Religious events,Religious music,Frequently
MINNG0047,36-45,Female,20+,Yes,A lot,Maintained,None,Never,None,Negative,Yes,Very important,A lot,Against,Always,Yes,Environmental impact,Incompatible,Yes,Maybe,No,Football,Does not follow football,Always,Friends,A lot,Yes,Religious events,Religious music,Frequently
MINNG0048,36-45,Female,20+,Yes,A lot,Maintained,None,Never,None,Negative,Yes,Very important,A lot,Against,Always,Yes,Environmental impact,Incompatible,Yes,Maybe,No,Volleyball,Does not follow football,Always,Friends,A lot,Yes,Religious events,Religious music,Frequently
MINNG0049,18-25,Female,11-20,Yes,A lot,Maintained,None,Never,None,Negative,Yes,Not important,A lot,Against,Always,Yes,Environmental impact,Incompatible,Yes,Maybe,Yes,Football,Does not follow football,Never,Friends,A lot,Yes,Religious events,Religious music,Frequently
MINNG0050,36-45,Female,11-20,Yes,A lot,Maintained,None,Never,None,Negative,Yes,Not important,A lot,Against,Always,Yes,Environmental impact,Incompatible,Yes,No,No,Football,Does not follow football,Always,Friends,A lot,Yes,Religious events,Religious music,Occasionally
MINNG0051,36-45,Female,5-10,Yes,A lot,Maintained,None,Never,None,Negative,Yes,Not important,A lot,Against,Always,Yes,Environmental impact,Incompatible,Yes,Yes,No,Basketball,Does not follow football,Never,Friends,A lot,Yes,Religious events,Religious music,Occasionally
MINNG0052,36-45,Female,5-10,Yes,A lot,Maintained,None,Never,None,Negative,Yes,Very important,A lot,Against,Always,Yes,Environmental impact,Incompatible,Yes,No,Yes,Football,Does not follow football,Always,Friends,A lot,Yes,Sports events,Popular music,Occasionally
MINNG0053,36-45,Female,5-10,Yes,A lot,Maintained,None,Never,None,Negative,Yes,Very important,A lot,Against,Always,Yes,Environmental impact,A little compatible,Yes,No,No,Volleyball,Does not follow football,Never,Friends,A lot,Yes,Community meetings,Popular music,Occasionally
MINNG0054,36-45,Male,5-10,Yes,A little,Maintained,None,Never,None,Negative,Yes,Very important,A lot,Against,Always,Yes,Environmental impact,Incompatible,Yes,Yes,Yes,Basketball,Does not follow football,Always,Friends,A lot,Yes,None,Popular music,Frequently
MINNG0055,36-45,Female,<5,Yes,A little,Maintained,None,Never,None,Negative,Yes,Very important,A lot,Against,Always,Yes,Environmental impact,Incompatible,Yes,Yes,Yes,Basketball,Does not follow football,Never,Friends,A lot,Yes,Sports events,Popular music,Frequently
MINNG0056,36-45,No response,<5,Yes,A little,Maintained,None,Never,None,Negative,Yes,Very important,A lot,Against,Always,Yes,Environmental impact,Incompatible,Yes,Yes,Yes,Basketball,Does not follow football,Always,Friends,A lot,Yes,Sports events,Popular music,Frequently
