AgentId,Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30
CHPBA0001,18-25,Female,20+,No,Not at all,Maintained,None,Never,None,Very negative,Yes,Important,A little,Unsure,Always,Yes,Religious beliefs,Incompatible,Unsure,Yes,Yes,Athletics,Local team,Never,Alone,A lot,No,Local festivities,International music,Frequently
CHPBA0002,26-35,Other,20+,No,Not at all,Maintained,None,Never,None,Very negative,No,Important,Not at all,No opinion,Sometimes,Depends,Community opinion,Incompatible,No,Yes,Yes,Volleyball,National team,Rarely,Neighbours,Moderately,Yes,Religious events,Religious music,Occasionally
CHPBA0003,26-35,No response,20+,No,Not at all,Maintained,None,Never,None,Very negative,Yes,Somewhat important,Not at all,Neutral,Sometimes,No,Religious beliefs,Incompatible,Yes,No,Yes,Athletics,National team,Rarely,Friends,Moderately,No,Local festivities,Religious music,Rarely
CHPBA0004,26-35,Female,20+,No,Not at all,Maintained,None,Never,None,Very negative,No,Not important,Not at all,No opinion,Sometimes,No,Community opinion,Incompatible,No,No,Yes,Basketball,National team,Rarely,Family,Moderately,Yes,Religious events,International music,Rarely
CHPBA0005,18-25,Female,20+,No,Not at all,Maintained,None,Never,None,Very negative,Yes,Not important,Not at all,Unsure,Sometimes,No,Religious beliefs,Incompatible,No,No,Yes,Football,National team,Rarely,Alone,Moderately,No,Local festivities,Religious music,Never
CHPBA0006,26-35,Female,20+,No,Not at all,Maintained,None,Never,None,Very negative,Yes,Somewhat important,Not at all,Against,Sometimes,No,Religious beliefs,Incompatible,No,No,Yes,Volleyball,National team,Rarely,Alone,Moderately,Yes,Religious events,Popular music,Never
CHPBA0007,26-35,Female,20+,No,Not at all,Maintained,None,Never,None,Very negative,Yes,Very important,Not at all,Neutral,Sometimes,No,Religious beliefs,Incompatible,No,No,Yes,Volleyball,National team,Rarely,Alone,Moderately,No,Sports events,Popular music,Rarely
CHPBA0008,26-35,Female,20+,No,Not at all,Maintained,None,Never,None,Very negative,Yes,Not important,Not at all,Against,Sometimes,No,Community opinion,Incompatible,No,Maybe,Yes,Volleyball,International team,Sometimes,Alone,Moderately,No,Community meetings,Popular music,Occasionally
CHPBA0009,18-25,No response,20+,No,Not at all,Maintained,None,Never,None,Very negative,Yes,Very important,Not at all,No opinion,Sometimes,No,Community opinion,Incompatible,Unsure,Maybe,No,Volleyball,Does not follow football,Sometimes,Neighbours,A little,Yes,None,Popular music,Frequently
CHPBA0010,26-35,Female,11-20,No,Not at all,Maintained,None,Never,None,Very negative,Yes,Not important,Not at all,Unsure,Sometimes,No,Community opinion,Incompatible,Unsure,Maybe,No,Volleyball,Local team,Sometimes,Friends,Not at all,Yes,None,Popular music,Never
CHPBA0011,26-35,Female,11-20,No,Not at all,Maintained,None,Never,None,Very negative,Yes,Very important,Not at all,Against,Sometimes,No,Community opinion,Incompatible,No,Maybe,No,Volleyball,Does not follow football,Sometimes,Family,Not at all,Yes,Community meetings,Popular music,Never
CHPBA0012,26-35,Female,11-20,No,Not at all,Maintained,None,Never,None,Very negative,Yes,Very important,Not at all,No opinion,Rarely,Depends,Community opinion,Incompatible,No,Maybe,No,Basketball,Does not follow football,Sometimes,Alone,Not at all,Yes,None,Popular music,Rarely
CHPBA0013,26-35,Female,11-20,No,Not at all,Maintained,None,Never,None,Very negative,Yes,Very important,Not at all,Neutral,Sometimes,Depends,Community opinion,A little compatible,No,Maybe,No,Football,Does not follow football,Always,Alone,Not at all,No,Community meetings,Popular music,Rarely
CHPBA0014,18-25,Female,11-20,No,Not at all,Maintained,None,Never,None,Very negative,Yes,Very important,Not at all,Neutral,Always,Depends,Community opinion,A little compatible,No,Maybe,Yes,Volleyball,Does not follow football,Always,Alone,Not at all,No,Sports events,Popular music,Rarely
CHPBA0015,46-60,Female,11-20,No,Not at all,Maintained,None,Never,None,Very negative,Yes,Very important,Not at all,Neutral,Rarely,Depends,Community opinion,Partially compatible,No,Maybe,No,Basketball,Does not follow football,Always,Alone,Not at all,No,Sports events,Popular music,Occasionally
CHPBA0016,46-60,Female,11-20,No,Not at all,Maintained,None,Never,None,Very negative,Yes,Very important,Not at all,Neutral,Always,Depends,Environmental impact,Incompatible,No,Maybe,Yes,Football,Does not follow football,Always,Neighbours,Not at all,No,None,Popular music,Occasionally
CHPBA0017,18-25,Female,11-20,No,Not at all,Maintained,None,Never,None,Very negative,Yes,Very important,Not at all,Neutral,Sometimes,No,Environmental impact,Incompatible,No,Maybe,No,Volleyball,Does not follow football,Always,Family,A little,No,Community meetings,Popular music,Occasionally
CHPBA0018,26-35,Other,11-20,No,Not at all,Maintained,None,Never,None,Very negative,Yes,Very important,Not at all,Neutral,Rarely,No,Environmental impact,Incompatible,No,Maybe,Yes,Basketball,National team,Sometimes,Alone,Moderately,Yes,Community meetings,Popular music,Occasionally
CHPBA0019,26-35,Other,11-20,No,Not at all,Maintained,None,Never,None,Very negative,Yes,Important,Not at all,Neutral,Sometimes,No,Environmental impact,Incompatible,No,Maybe,No,Football,International team,Rarely,Neighbours,A lot,Yes,None,Traditional music,Occasionally
CHPBA0020,26-35,Female,11-20,No,Not at all,Maintained,None,Never,None,Very negative,Yes,Important,Not at all,Neutral,Always,No,Environmental impact,Incompatible,No,Maybe,Yes,Volleyball,National team,Never,Neighbours,Not at all,Yes,Local festivities,Traditional music,Occasionally
CHPBA0021,26-35,Female,11-20,No,Not at all,Maintained,None,Never,None,Very negative,Yes,Somewhat important,Not at all,Neutral,Sometimes,Yes,Environmental impact,Incompatible,No,Maybe,No,Basketball,International team,Never,Neighbours,Not at all,Yes,Local festivities,Traditional music,Occasionally
CHPBA0022,26-35,Female,11-20,No,Not at all,Maintained,None,Never,None,Very negative,Yes,Very important,Not at all,Neutral,Sometimes,Yes,Environmental impact,Incompatible,No,Maybe,No,Football,Does not follow football,Never,Neighbours,A little,Yes,Local festivities,Traditional music,Occasionally
CHPBA0023,26-35,Female,20+,No,Not at all,Maintained,None,Never,None,Very negative,Yes,Very important,Not at all,Neutral,Sometimes,Yes,Environmental impact,Incompatible,No,Maybe,Yes,Volleyball,Does not follow football,Never,Neighbours,Moderately,Yes,Local festivities,Traditional music,Occasionally
CHPBA0024,26-35,Female,20+,No,Not at all,Maintained,None,Never,None,Very negative,Yes,Very important,Not at all,Neutral,Sometimes,Yes,Environmental impact,Incompatible,No,Maybe,No,Volleyball,Does not follow football,Never,Neighbours,Moderately,Yes,Local festivities,Traditional music,Occasionally
CHPBA0025,26-35,Female,20+,No,Not at all,Maintained,None,Never,None,Very negative,Yes,Very important,Not at all,Neutral,Sometimes,Yes,Environmental impact,Incompatible,No,Maybe,No,Volleyball,Does not follow football,Never,Neighbours,Moderately,Yes,Local festivities,Traditional music,Occasionally
CHPBA0026,26-35,Female,20+,No,Not at all,Maintained,None,Never,None,Very negative,Yes,Somewhat important,Not at all,No opinion,Rarely,Yes,Environmental impact,Incompatible,No,Maybe,Yes,Volleyball,Does not follow football,Rarely,Neighbours,Moderately,Yes,Local festivities,Traditional music,Occasionally
CHPBA0027,26-35,Female,20+,No,A little,Maintained,None,Never,None,Very negative,Yes,Very important,Not at all,No opinion,Always,Yes,Environmental impact,Incompatible,No,Maybe,Yes,Volleyball,Does not follow football,Sometimes,Neighbours,Moderately,Yes,Local festivities,Traditional music,Frequently
