iterations,aggregate_opinions,radicalised_agents,silenced_agents,negated_agents,radicalisation_logodds,layer_interdependences_family,layer_interdependences_friends,layer_interdependences_neighbours,layer_interdependences_religion,layer_interdependences_cultural,layer_polarisations_family,layer_polarisations_friends,layer_polarisations_neighbours,layer_polarisations_religion,layer_polarisations_cultural
1,-0.10813795419662578,0,19,26,0.0,0.20355288136689542,0.1898823036144406,0.22544195051697719,0.16894648186619826,0.212176382635477,0.19103064840142783,0.19103064840142783,0.19103064840142783,0.19103064840142783,0.19103064840142783
2,-0.21309357243186683,0,42,50,0.0,0.20341568801435897,0.1916954601435658,0.22577559967935099,0.16745776464378043,0.21165548751893976,0.23969205568782984,0.23969205568782984,0.23969205568782984,0.23969205568782984,0.23969205568782984
3,-0.07865820811294935,1,61,74,0.02020270731751945,0.2042722714891732,0.19154550276057097,0.22529332689476161,0.1681404690315048,0.2107484298239851,0.24824145978333093,0.24824145978333093,0.24824145978333093,0.24824145978333093,0.24824145978333093
4,-0.15877903542539812,1,82,99,0.02020270731751945,0.20427227148917326,0.19154550276057106,0.22529332689476173,0.16814046903150473,0.21074842982398515,0.24824145978333093,0.24824145978333093,0.24824145978333093,0.24824145978333093,0.24824145978333093
5,-0.06936990535686302,1,101,124,0.02020270731751945,0.20383130348718223,0.1914990497193967,0.2253657705257028,0.1677252161688561,0.21157866009886334,0.2548454945765555,0.2548454945765555,0.2548454945765555,0.2548454945765555,0.2548454945765555
6,-0.18207186790085242,1,123,148,0.02020270731751945,0.20383130348718212,0.19149904971939677,0.22536577052570284,0.16772521616885602,0.21157866009886328,0.2548454945765555,0.2548454945765555,0.2548454945765555,0.2548454945765555,0.2548454945765555
7,-0.07842650535052095,1,142,172,0.02020270731751945,0.20383130348718223,0.19149904971939674,0.22536577052570275,0.1677252161688562,0.21157866009886336,0.2548454945765555,0.2548454945765555,0.2548454945765555,0.2548454945765555,0.2548454945765555
8,-0.18778804675471594,1,164,196,0.02020270731751945,0.20383130348718217,0.19149904971939677,0.22536577052570284,0.16772521616885605,0.21157866009886334,0.2548454945765555,0.2548454945765555,0.2548454945765555,0.2548454945765555,0.2548454945765555
9,-0.1212098770563297,1,183,218,0.02020270731751945,0.20383130348718217,0.1914990497193967,0.2253657705257028,0.16772521616885602,0.2115786600988634,0.2548454945765555,0.2548454945765555,0.2548454945765555,0.2548454945765555,0.2548454945765555
10,-0.20179257647408388,1,204,239,0.02020270731751945,0.20383130348718212,0.1914990497193967,0.22536577052570286,0.16772521616885613,0.21157866009886328,0.2548454945765555,0.2548454945765555,0.2548454945765555,0.2548454945765555,0.2548454945765555
