iterations,aggregate_opinions,radicalised_agents,silenced_agents,negated_agents,radicalisation_logodds,layer_interdependences_family,layer_interdependences_friends,layer_interdependences_neighbours,layer_interdependences_religion,layer_interdependences_cultural,layer_polarisations_family,layer_polarisations_friends,layer_polarisations_neighbours,layer_polarisations_religion,layer_polarisations_cultural
1,-0.10092304403002464,0,19,24,0.0,0.19118891572786315,0.20930818267844006,0.2056533412627964,0.1967662893133679,0.19708327101753448,0.18093737836727444,0.18093737836727444,0.18093737836727444,0.18093737836727444,0.18093737836727444
2,-0.1692942220133136,0,45,48,0.0,0.18976460839734177,0.21054776676871045,0.20846237311589974,0.19721249229017127,0.19401275942787613,0.23542763622892152,0.23542763622892152,0.23542763622892152,0.23542763622892152,0.23542763622892152
3,-0.11702763417866505,0,67,74,0.0,0.19004274750273153,0.21056042189939347,0.208256013293468,0.19727266527779855,0.19386815202660745,0.24000331317174345,0.24000331317174345,0.24000331317174345,0.24000331317174345,0.24000331317174345
4,-0.13224919282642744,0,93,99,0.0,0.19060623174456065,0.21033534116143374,0.20822427716238565,0.19788335045000985,0.19295079948160787,0.24681820801631654,0.24681820801631654,0.24681820801631654,0.24681820801631654,0.24681820801631654
5,-0.11313098955185973,1,118,124,0.02020270731751945,0.18902806969777886,0.21050617679320993,0.20863593303562958,0.19925761173367312,0.1925722087397057,0.27938572445501975,0.27938572445501975,0.27938572445501975,0.27938572445501975,0.27938572445501975
6,-0.1156245002865456,1,145,149,0.02020270731751945,0.18904067720042947,0.20998074638929357,0.20839419494535627,0.19978610618114037,0.19279827528377985,0.28648322887916144,0.28648322887916144,0.28648322887916144,0.28648322887916144,0.28648322887916144
7,-0.13587051277834336,2,169,172,0.04082199452025513,0.18900180873114447,0.20999100680813768,0.20846651341861483,0.19986015543460584,0.1926805156074993,0.28142020794421363,0.28142020794421363,0.28142020794421363,0.28142020794421363,0.28142020794421363
8,-0.07984380431846282,2,195,195,0.04082199452025513,0.18900180873114447,0.20999100680813768,0.20846651341861475,0.19986015543460578,0.19268051560749935,0.28142020794421363,0.28142020794421363,0.28142020794421363,0.28142020794421363,0.28142020794421363
9,-0.1470029290610208,2,219,218,0.04082199452025513,0.1890018087311445,0.20999100680813762,0.20846651341861486,0.19986015543460586,0.19268051560749933,0.28142020794421363,0.28142020794421363,0.28142020794421363,0.28142020794421363,0.28142020794421363
10,-0.051927755514118976,2,245,241,0.04082199452025513,0.1890018087311445,0.2099910068081377,0.2084665134186148,0.19986015543460572,0.19268051560749935,0.28142020794421363,0.28142020794421363,0.28142020794421363,0.28142020794421363,0.28142020794421363
11,-0.13153995787314124,3,272,264,0.06187540371808747,0.19025058439424422,0.20838296992248317,0.2087753542188859,0.20108326701559565,0.19150782444879522,0.28704017440366175,0.28704017440366175,0.28704017440366175,0.28704017440366175,0.28704017440366175
12,-0.04115173029318276,4,297,285,0.08338160893905106,0.18973093086534423,0.2083016754669524,0.20868747341189756,0.20112450144137556,0.19215541881443415,0.29216754968803943,0.29216754968803943,0.29216754968803943,0.29216754968803943,0.29216754968803943
13,-0.13399124727879888,4,322,308,0.08338160893905106,0.18933030947452525,0.20938455365529196,0.2077621306730802,0.1998377771899816,0.1936852290071213,0.30559877897520094,0.30559877897520094,0.30559877897520094,0.30559877897520094,0.30559877897520094
14,-0.07051370647772563,4,347,330,0.08338160893905106,0.18933030947452523,0.20938455365529193,0.2077621306730802,0.1998377771899815,0.19368522900712132,0.30559877897520094,0.30559877897520094,0.30559877897520094,0.30559877897520094,0.30559877897520094
15,-0.11815622982102739,4,372,353,0.08338160893905106,0.1893303094745253,0.20938455365529196,0.20776213067308022,0.19983777718998144,0.19368522900712126,0.30559877897520094,0.30559877897520094,0.30559877897520094,0.30559877897520094,0.30559877897520094
16,-0.09049774041875491,4,398,375,0.08338160893905106,0.18933030947452528,0.20938455365529207,0.20776213067308028,0.19983777718998144,0.19368522900712135,0.30559877897520094,0.30559877897520094,0.30559877897520094,0.30559877897520094,0.30559877897520094
