iterations,aggregate_opinions,radicalised_agents,silenced_agents,negated_agents,radicalisation_logodds,layer_interdependences_family,layer_interdependences_friends,layer_interdependences_neighbours,layer_interdependences_religion,layer_interdependences_cultural,layer_polarisations_family,layer_polarisations_friends,layer_polarisations_neighbours,layer_polarisations_religion,layer_polarisations_cultural
1,-0.001910815156181888,3,21,23,0.06187540371808747,0.20356469790379955,0.19758780340241025,0.2004362486958943,0.19733073933921347,0.20108051065868163,0.13874332354575147,0.13874332354575147,0.13874332354575147,0.13874332354575147,0.13874332354575147
2,0.05628767788371548,8,40,43,0.17435338714477777,0.20351441116579982,0.19742532587450135,0.19639986577086418,0.2001264610105143,0.20253393617832033,0.22240531319674972,0.22240531319674972,0.22240531319674972,0.22240531319674972,0.22240531319674972
3,0.10724432774388991,10,60,63,0.22314355131420976,0.194255772360359,0.19614843852765346,0.19875215785408895,0.20447510339834676,0.20636852785954965,0.18782295671850893,0.18782295671850893,0.18782295671850893,0.18782295671850893,0.18782295671850893
4,0.015781274246255757,11,80,84,0.24846135929849963,0.2052612260003866,0.19218368686704784,0.2012272067903568,0.2012085723469301,0.20011930799528108,0.262055560240811,0.262055560240811,0.262055560240811,0.262055560240811,0.262055560240811
5,0.027044244144004068,14,98,102,0.3285040669720361,0.203298270516754,0.19143232469367097,0.2013503823020758,0.20237990014298504,0.20153912234451862,0.2816149167461406,0.2816149167461406,0.2816149167461406,0.2816149167461406,0.2816149167461406
6,-0.006357740134653569,14,117,119,0.3285040669720361,0.2017483998123705,0.19084749613534172,0.2029661556038911,0.20160529196305296,0.2028326564853464,0.25282963319976964,0.25282963319976964,0.25282963319976964,0.25282963319976964,0.25282963319976964
7,-0.003354116749658871,15,136,134,0.3566749439387324,0.2042760345425724,0.19311890683348729,0.20164883191218633,0.20248862063848544,0.19846760607326772,0.25523540723660826,0.25523540723660826,0.25523540723660826,0.25523540723660826,0.25523540723660826
8,-0.05316733585585297,15,158,152,0.3566749439387324,0.20776970782532658,0.19533445226304885,0.20128257293549395,0.1964653419344437,0.19914792504168594,0.2693164801240635,0.2693164801240635,0.2693164801240635,0.2693164801240635,0.2693164801240635
9,-0.06313465063444684,17,179,169,0.4155154439616659,0.20953213271406199,0.1938572940827321,0.20148157583465284,0.19894838592273964,0.19618061144581042,0.2682893200100866,0.2682893200100866,0.2682893200100866,0.2682893200100866,0.2682893200100866
10,0.04120100978488203,18,197,184,0.44628710262841953,0.20475722675328087,0.1991834096142152,0.2002542787190589,0.19730490833742648,0.19850017657602012,0.23142177772770933,0.23142177772770933,0.23142177772770933,0.23142177772770933,0.23142177772770933
11,-0.11943315644461426,18,217,200,0.44628710262841953,0.2012020294197294,0.19741231715437932,0.20219629803583422,0.2008859856667618,0.1983033697232958,0.2626243327044322,0.2626243327044322,0.2626243327044322,0.2626243327044322,0.2626243327044322
12,-0.06665501123539984,21,237,215,0.5447271754416719,0.20516665267446882,0.19651370100546137,0.20507588985175768,0.19947276897725272,0.19377098749106061,0.28760205028532754,0.28760205028532754,0.28760205028532754,0.28760205028532754,0.28760205028532754
13,-0.03827898428657189,22,256,230,0.5798184952529422,0.2032422176676827,0.20382806613364066,0.20419152826578707,0.19351974642228603,0.19521844151060586,0.3228630815293627,0.3228630815293627,0.3228630815293627,0.3228630815293627,0.3228630815293627
14,0.015415477580594692,22,275,244,0.5798184952529422,0.20781051061112293,0.19790901293742258,0.20040709850373317,0.2001857118248232,0.19368766612289917,0.3030116195282147,0.3030116195282147,0.3030116195282147,0.3030116195282147,0.3030116195282147
