iterations,aggregate_opinions,radicalised_agents,silenced_agents,negated_agents,radicalisation_logodds,layer_interdependences_family,layer_interdependences_friends,layer_interdependences_religion,layer_interdependences_neighbours,layer_interdependences_cultural,layer_polarisations_family,layer_polarisations_friends,layer_polarisations_religion,layer_polarisations_neighbours,layer_polarisations_cultural
1,-0.05766140305899369,35,59,65,0.4307829160924542,0.19812636601953854,0.19978809581864865,0.20038838522360697,0.201162660416493,0.20053449252171646,0.1962533592857502,0.1962533592857502,0.1962533592857502,0.1962533592857502,0.1962533592857502
2,0.11391992207539074,44,108,119,0.5798184952529422,0.19779372632439388,0.1999680546433618,0.2002425967263881,0.2011496461609221,0.20084597614493352,0.2937284235500763,0.2937284235500763,0.2937284235500763,0.2937284235500763,0.2937284235500763
3,-0.08837693716598903,53,149,162,0.7550225842780328,0.19811151935107923,0.1998552720648665,0.2001793123714093,0.201113333521324,0.2007405626913214,0.37941064713985745,0.37941064713985745,0.37941064713985745,0.37941064713985745,0.37941064713985745
4,0.05276057643764305,60,183,201,0.916290731874155,0.19848293490389807,0.19989254524034084,0.20019843195440587,0.20119100208023788,0.20023508582111918,0.4273448043729281,0.4273448043729281,0.4273448043729281,0.4273448043729281,0.4273448043729281
5,-0.0021608200849424484,70,211,231,1.203972804325936,0.19857123289300205,0.20025555233063783,0.20011671067796655,0.20109868283107082,0.19995782126732506,0.46176175264640346,0.46176175264640346,0.46176175264640346,0.46176175264640346,0.46176175264640346
6,0.11932384537180867,75,234,256,1.3862943611198906,0.19822709516657228,0.20025132328739567,0.20060457310580365,0.20112374359824375,0.19979326484199272,0.49975284107250867,0.49975284107250867,0.49975284107250867,0.49975284107250867,0.49975284107250867
7,0.07965741424434009,78,254,278,1.5141277326297755,0.19825973927750207,0.20045884900263627,0.2000662177269811,0.20117612460022644,0.2000390693926562,0.5154765387492334,0.5154765387492334,0.5154765387492334,0.5154765387492334,0.5154765387492334
8,0.1161299096123339,80,273,298,1.6094379124341005,0.19819392458315452,0.20057840338218824,0.1997524416465177,0.20116739217498117,0.20030783821316067,0.5191168963795295,0.5191168963795295,0.5191168963795295,0.5191168963795295,0.5191168963795295
9,0.12647220527307532,86,286,312,1.9661128563728327,0.19838769386673138,0.20064736253916443,0.20000511890888192,0.20121800715751909,0.1997418175277068,0.5171950268121717,0.5171950268121717,0.5171950268121717,0.5171950268121717,0.5171950268121717
10,0.1325019022567247,90,295,322,2.302585092994046,0.1983304575141687,0.2008265398009177,0.19977975781268584,0.20126137579660527,0.19980186907562647,0.5313885937070315,0.5313885937070315,0.5313885937070315,0.5313885937070315,0.5313885937070315
