iterations,aggregate_opinions,radicalised_agents,silenced_agents,negated_agents,radicalisation_logodds,layer_interdependences_family,layer_interdependences_friends,layer_interdependences_religion,layer_interdependences_neighbours,layer_interdependences_cultural,layer_polarisations_family,layer_polarisations_friends,layer_polarisations_religion,layer_polarisations_neighbours,layer_polarisations_cultural
1,-0.2215250804378307,0,58,89,0.0,0.19991727905120396,0.20099119209420116,0.20088154220968768,0.19943389821843432,0.1987760884264718,0.15461278974823475,0.15461278974823475,0.15461278974823475,0.15461278974823475,0.15461278974823475
2,0.23198211881477535,1,136,184,0.010050335853501442,0.2000208785442461,0.2003757559209098,0.20099520158600354,0.19956746835017486,0.19904069559866544,0.16990565417374415,0.16990565417374415,0.16990565417374415,0.16990565417374415,0.16990565417374415
3,-0.20261667802081396,1,218,278,0.010050335853501442,0.200057605024224,0.20040968671309567,0.20098311872687485,0.19933002996801458,0.19921955956779336,0.20185453411736112,0.20185453411736112,0.20185453411736112,0.20185453411736112,0.20185453411736112
4,0.16260436156356445,3,296,374,0.030459207484708546,0.20025631618185094,0.2003347511815945,0.2008742244642613,0.1991491682620584,0.19938553991023775,0.23327149284697213,0.23327149284697213,0.23327149284697213,0.23327149284697213,0.23327149284697213
5,-0.2206295657573625,4,381,468,0.04082199452025513,0.20023804848170515,0.2003697890953535,0.20082109150521305,0.19900301035299126,0.19956806056473814,0.2709090458556795,0.2709090458556795,0.2709090458556795,0.2709090458556795,0.2709090458556795
6,0.17016991611489712,8,466,559,0.08338160893905106,0.20016850238174977,0.20024414128396753,0.2007193811701395,0.19905549558951027,0.1998124795746297,0.30504407912803344,0.30504407912803344,0.30504407912803344,0.30504407912803344,0.30504407912803344
7,-0.1653982776656323,11,551,647,0.11653381625595152,0.2002020579877453,0.20027309967166504,0.20071945519494078,0.19911240418412088,0.1996929829615284,0.3480871510796262,0.3480871510796262,0.3480871510796262,0.3480871510796262,0.3480871510796262
8,0.21011366801562104,17,625,728,0.18632957819149346,0.20021962202392882,0.20028793171192735,0.20071712208086387,0.1990171473398016,0.19975817684347658,0.38001476305486115,0.38001476305486115,0.38001476305486115,0.38001476305486115,0.38001476305486115
9,-0.09779425417891051,21,696,806,0.23572233352106986,0.20022553523267422,0.2003681851388089,0.2007929788943925,0.1989108920055733,0.1997024087285493,0.38870163633934124,0.38870163633934124,0.38870163633934124,0.38870163633934124,0.38870163633934124
10,0.18338476607648357,24,769,880,0.2744368457017603,0.2003969027465377,0.20039110506085792,0.20081136625032642,0.1986681934311424,0.1997324325111373,0.4025184433660428,0.4025184433660428,0.4025184433660428,0.4025184433660428,0.4025184433660428
11,-0.09290331299064293,28,837,952,0.3285040669720361,0.20046313714606517,0.2004065801696415,0.20081831360324462,0.1986092556005061,0.19970271348053972,0.4294186775160518,0.4294186775160518,0.4294186775160518,0.4294186775160518,0.4294186775160518
12,0.154608769280383,32,904,1020,0.3856624808119847,0.20034012497427126,0.20044305608390306,0.20085079334689412,0.19885026552556798,0.19951576006936456,0.4494549370149303,0.4494549370149303,0.4494549370149303,0.4494549370149303,0.4494549370149303
13,-0.06459543720421221,39,961,1079,0.49429632181478017,0.20023977325319078,0.20045707135568674,0.2008511411022019,0.19883453206533067,0.19961748222359024,0.4834579444877975,0.4834579444877975,0.4834579444877975,0.4834579444877975,0.4834579444877975
14,0.11181535367923406,46,1010,1130,0.616186139423817,0.20026906783007983,0.2004858047913477,0.20087885690918128,0.19871788669145407,0.1996483837779383,0.48226935332892146,0.48226935332892146,0.48226935332892146,0.48226935332892146,0.48226935332892146
15,-0.06335313649739907,48,1060,1182,0.6539264674066639,0.2002843934550979,0.20050035982730846,0.2008920144831715,0.19868160640211646,0.19964162583230763,0.4895382485531738,0.4895382485531738,0.4895382485531738,0.4895382485531738,0.4895382485531738
16,0.11695807809091,48,1108,1232,0.6539264674066639,0.20028138314629582,0.20052118124807927,0.20089228965061634,0.19866997837903827,0.19963516757597127,0.49079024330671916,0.49079024330671916,0.49079024330671916,0.49079024330671916,0.49079024330671916
17,-0.028204378766810062,53,1151,1278,0.7550225842780328,0.20031540724708963,0.20053178579677575,0.20092416372460753,0.19893190557626003,0.1992967376552683,0.4827661468013531,0.4827661468013531,0.4827661468013531,0.4827661468013531,0.4827661468013531
18,0.067464242170095,57,1193,1320,0.8439700702945289,0.2003899376489833,0.20057272303847928,0.20096233569499194,0.1990383979071108,0.19903660571043613,0.497429325901627,0.497429325901627,0.497429325901627,0.497429325901627,0.497429325901627
19,-0.0461744504553059,63,1229,1357,0.9942522733438669,0.20040502597187676,0.2005912179344386,0.2006156095409471,0.19897312024089175,0.19941502631184682,0.4866145429749136,0.4866145429749136,0.4866145429749136,0.4866145429749136,0.4866145429749136
20,0.06422640009812007,65,1263,1392,1.0498221244986778,0.20032914391656964,0.20051989813223117,0.20051989813223114,0.19923400396330693,0.1993970558556592,0.4586282687063542,0.4586282687063542,0.4586282687063542,0.4586282687063542,0.4586282687063542
21,-0.05117155829523151,66,1296,1426,1.07880966137193,0.20027788016914272,0.20061580467369589,0.20061580467369589,0.19911569576572172,0.19937481471774043,0.4746410549831431,0.4746410549831431,0.4746410549831431,0.4746410549831431,0.4746410549831431
22,0.016936633061012247,68,1327,1457,1.139434283188365,0.20023719436568077,0.2005793408538635,0.20057934085386347,0.19908707954810384,0.19951704437848508,0.4657077763217925,0.4657077763217925,0.4657077763217925,0.4657077763217925,0.4657077763217925
23,-0.05157416763301758,69,1358,1488,1.1711829815029449,0.19980711853595198,0.20052661578676692,0.2005040924059027,0.19942745460647535,0.19973471866490125,0.4560286431754152,0.4560286431754152,0.4560286431754152,0.4560286431754152,0.4560286431754152
24,0.048266473736856955,71,1386,1516,1.2378743560016172,0.19958040934999924,0.20047910486854997,0.20047910486855003,0.199384944080659,0.20007643683224116,0.4599013535507939,0.4599013535507939,0.4599013535507939,0.4599013535507939,0.4599013535507939
25,-0.02773143907070844,72,1414,1544,1.2729656758128873,0.1992643308921147,0.20037636508280784,0.2003763650828078,0.1994915110042817,0.20049142793798905,0.4556921413054706,0.4556921413054706,0.4556921413054706,0.4556921413054706,0.4556921413054706
26,0.07018984786005772,74,1439,1570,1.3470736479666092,0.19920509473970113,0.20041449110275225,0.20041449110275236,0.1993823017974981,0.2005836212572921,0.4396609622798352,0.4396609622798352,0.4396609622798352,0.4396609622798352,0.4396609622798352
27,0.027564181948910537,75,1464,1595,1.3862943611198906,0.19923230984243392,0.20042279035316216,0.20041800962232534,0.19983164953784283,0.2000952406442324,0.45126342368961275,0.45126342368961275,0.45126342368961275,0.45126342368961275,0.45126342368961275
28,0.10511453849404422,75,1489,1620,1.3862943611198906,0.19938227532015784,0.2006226495931467,0.20056993182255542,0.19968539182037282,0.19973975144376582,0.45730504286624774,0.45730504286624774,0.45730504286624774,0.45730504286624774,0.45730504286624774
29,0.06100988677078885,77,1511,1643,1.4696759700589417,0.19942875166996846,0.2008419481440516,0.2006393217575982,0.1995556924352343,0.1995342859931466,0.433136355142072,0.433136355142072,0.433136355142072,0.433136355142072,0.433136355142072
30,0.041371053254942336,80,1531,1663,1.6094379124341005,0.19907484576724194,0.20094666972215025,0.20032303359091314,0.1995749403785834,0.20008051054110798,0.41425608761133015,0.41425608761133015,0.41425608761133015,0.41425608761133015,0.41425608761133015
31,-0.002598928218491382,81,1550,1682,1.660731206821651,0.19905071072164982,0.20126954536133315,0.20030417140968168,0.19945405467416522,0.19992151783316844,0.4102020354114514,0.4102020354114514,0.4102020354114514,0.4102020354114514,0.4102020354114514
32,-0.014869750556297285,82,1568,1700,1.7147984280919264,0.199023344098231,0.20119513361915783,0.20028582688730792,0.1998374273699313,0.19965826802537096,0.4095488661666119,0.4095488661666119,0.4095488661666119,0.4095488661666119,0.4095488661666119
33,-0.043311499126662,82,1586,1718,1.7147984280919264,0.19946329550822323,0.2012633969565126,0.20035934042426923,0.19979769256837063,0.1991162745426235,0.4097874789082073,0.4097874789082073,0.4097874789082073,0.4097874789082073,0.4097874789082073
34,-0.04292188021498732,82,1602,1736,1.7147984280919264,0.1998846683016057,0.2011465255230803,0.20024610316967129,0.19977013031509477,0.19895257269054928,0.3963807102770563,0.3963807102770563,0.3963807102770563,0.3963807102770563,0.3963807102770563
35,-0.057045131280833994,83,1619,1753,1.771956841931875,0.19957944704473535,0.20102158337002107,0.20032946953574254,0.20006720856824406,0.199002291481256,0.39653226538799324,0.39653226538799324,0.39653226538799324,0.39653226538799324,0.39653226538799324
36,-0.03932186743070425,83,1636,1770,1.771956841931875,0.19913291414911335,0.2012440742248767,0.20054042187783747,0.20000840787641355,0.19907418187175938,0.38587041711829634,0.38587041711829634,0.38587041711829634,0.38587041711829634,0.38587041711829634
37,-0.0676907554575668,84,1650,1785,1.83258146374831,0.19920180913039898,0.20115156379393745,0.20051460889494296,0.19981013032889083,0.19932188785182944,0.36813725187069907,0.36813725187069907,0.36813725187069907,0.36813725187069907,0.36813725187069907
38,-0.0470280936886446,85,1663,1799,1.8971199848858813,0.19904770944789718,0.20115128723544942,0.20048943621330986,0.19936331804858415,0.1999482490547607,0.38106300914868785,0.38106300914868785,0.38106300914868785,0.38106300914868785,0.38106300914868785
39,-0.03243839387264128,85,1678,1814,1.8971199848858813,0.19954218912538169,0.20117146664082783,0.20023654356376416,0.19923642362830565,0.19981337704172722,0.3866557759349018,0.3866557759349018,0.3866557759349018,0.3866557759349018,0.3866557759349018
40,-0.04531892711010323,86,1691,1828,1.9661128563728327,0.1999062639106562,0.20090472286839153,0.20025901396150625,0.19913879346394553,0.19979120579550147,0.41701228897424975,0.41701228897424975,0.41701228897424975,0.41701228897424975,0.41701228897424975
41,-0.018012263971528747,86,1705,1841,1.9661128563728327,0.20010651297626994,0.2006855046254487,0.2003853597256344,0.198889073013898,0.19993354965874868,0.43753821501856727,0.43753821501856727,0.43753821501856727,0.43753821501856727,0.43753821501856727
