iterations,aggregate_opinions,radicalised_agents,silenced_agents,negated_agents,radicalisation_logodds,layer_interdependences_A,layer_interdependences_B,layer_interdependences_C,layer_interdependences_D,layer_interdependences_E,layer_interdependences_F,layer_polarisations_A,layer_polarisations_B,layer_polarisations_C,layer_polarisations_D,layer_polarisations_E,layer_polarisations_F
1,-0.04063460573605362,5,61,39,0.051293294387550536,0.28225788971700977,0.012224619082733892,0.22538841304488338,0.1939275769450436,0.20091899806891733,0.085282503141407,0.17141725194975077,0.16493112151781958,0.17099207513450687,0.17220701343950043,0.16150133671126973,0.18034277698094356
2,-0.02051653656004872,17,117,70,0.18632957819149346,0.2832144706214238,0.01044450896590927,0.2219802570293957,0.19466617331015698,0.19841493612817118,0.09127965394494178,0.21072994670364276,0.17804633817953971,0.204652104572144,0.2300116475319326,0.19508487822528456,0.2494823440501116
3,-0.040932451804897844,19,168,103,0.2107210313156526,0.2822073148419149,0.011339570683651769,0.22200565445666778,0.19958389088954817,0.20650794389892488,0.07835562522929333,0.23559190866882657,0.1927603587125081,0.24180425949934367,0.25989801715930844,0.23529886283230575,0.2342130489639406
4,-0.007141751685697145,23,214,132,0.2613647641344075,0.2847511574735108,0.012622345033991665,0.2223538406881382,0.19793358897049915,0.20797598452663377,0.0743630833072282,0.2627445544297715,0.23312133458734247,0.25964273743620314,0.2814938306575536,0.26175681637119935,0.23550697644440716
5,-0.026078608688080963,25,264,159,0.2876820724517809,0.2867877482767114,0.012016287294420506,0.22570152356100684,0.19446327443480327,0.20624534248943002,0.07478582394362682,0.28713937945043383,0.2740017166678161,0.2847370465060465,0.2871252412875101,0.2842799347798103,0.24291988917168766
6,-0.069576930559064,29,314,188,0.34249030894677596,0.2850262144815765,0.013420887527085486,0.22667553141185195,0.19798078169457087,0.20427191100766054,0.0726246738772536,0.3253203179234769,0.3432460962764964,0.33046647114228933,0.3351958260814806,0.31668773336534967,0.27302133704837744
7,0.010384692592996876,33,362,220,0.40047756659712536,0.2843437216572827,0.01097684888514103,0.22135809855351243,0.19547596678000032,0.2088348546194378,0.07901050950462508,0.3372870921807325,0.27682866872330814,0.3414345857014374,0.34360044857697375,0.3471104296494617,0.31956114865278934
8,-0.03146089175116287,34,409,248,0.4155154439616659,0.28543362999840743,0.009796138695069189,0.22050135677408714,0.1955406081924526,0.20965974633551857,0.07906852000446453,0.35108510961035094,0.2508328899252509,0.3497947579233544,0.36886821124820285,0.36595547293931535,0.32245146385078455
9,0.037478480756480824,36,458,275,0.44628710262841953,0.2832190733095487,0.009262519382807609,0.21914137022939645,0.19446023702125928,0.2091089130998311,0.08480788695715792,0.3546792434121054,0.2134151636147126,0.34858295670829176,0.3733059988258785,0.37162083805973367,0.38789491605663284
10,-0.0010214807666884423,40,500,301,0.5108256237659907,0.28040219503921876,0.009709480968233847,0.22161756466406116,0.19768259624341,0.20921568411778485,0.08137247896729187,0.3605630786923611,0.20882859564804132,0.3574196915157646,0.39085898167166666,0.38856107134176404,0.3790705818215871
11,0.06364304680666277,43,541,323,0.5621189181535412,0.28076982589880367,0.010687750507869506,0.22301495654246176,0.1994680097509091,0.20535366607297412,0.0807057912269815,0.35507770891845536,0.23204097665924628,0.35508878215391965,0.3851871155484777,0.3731781563427395,0.3684437304968355
12,-0.004409789163403025,45,583,344,0.5978370007556204,0.2792367746217821,0.012809816100294366,0.22609475244629315,0.2001440651098443,0.1991750791808974,0.0825395125408901,0.3522782420894621,0.31324258129174437,0.3625091461895806,0.3810495092670516,0.3602449248994419,0.37792075176441453
13,0.032868065964239045,46,626,368,0.616186139423817,0.2775661309445114,0.013625321556018113,0.2329066414350802,0.19878497594042777,0.19753854083028763,0.07957838929367297,0.3609123720822755,0.3767728085448895,0.38458130120566425,0.3824626340710293,0.3721094408490349,0.3525385936099389
14,0.03747274135256405,47,668,390,0.6348782724359695,0.2758161341578146,0.014012612727130395,0.23234089919216178,0.19415514702160816,0.19802578948115857,0.08564941742012643,0.37321015243240735,0.48375149529500155,0.4049157202463368,0.3878593260685955,0.39493450509901906,0.4310313797582279
15,0.03689345155200059,48,707,410,0.6539264674066639,0.27874711820429915,0.012863593742845274,0.22945697042107,0.19553684255270495,0.1981098324436945,0.08528564263538733,0.3979683168768377,0.4023997432575844,0.41861844283378286,0.41500730916222356,0.4139270622602109,0.4744492333804215
16,-0.01120505102774561,50,741,428,0.6931471805599453,0.2775382588915423,0.012669972257760124,0.2318764550338951,0.1910474934940748,0.19860618353615353,0.08826163678657291,0.42700532115475515,0.45904982526854893,0.45510706964666625,0.42991302553241456,0.4409894810452561,0.5543297324592182
17,0.006598547139433804,54,777,449,0.7765287894989964,0.2756655438366098,0.010112904198142961,0.2315439167132662,0.18981319934531726,0.202475171240849,0.09038926466581756,0.4390684447588585,0.29591353852858726,0.4649255472893659,0.43936231060402836,0.46437387155644394,0.5825004997753136
18,0.01892119288922346,57,810,465,0.8439700702945289,0.27765907628189773,0.012310522953305713,0.22755716241140383,0.1893167510102812,0.20655216972577428,0.086604317617337,0.466142336487066,0.4341289328429449,0.4822230028604559,0.45510485602899975,0.5033608615555885,0.5649421917094541
19,-0.0015241997681094443,57,842,483,0.8439700702945289,0.27986256057717024,0.010834955469804048,0.23034169779546057,0.1875932215335177,0.20594007341021844,0.08542749121382756,0.44815914434431625,0.31354321143736374,0.47567192076540676,0.4280470641823616,0.486443167957822,0.5208785214408652
20,0.035988615308643564,58,875,502,0.867500567704723,0.28224648768910393,0.012221132362625026,0.23001302634411916,0.18825300714334217,0.2026125514679999,0.08465379499280996,0.4524494222110586,0.44389243792026883,0.4769313875944345,0.43619828190453697,0.4859380714746949,0.5239630396626331
21,0.022693796978521495,58,911,518,0.867500567704723,0.28565034428684355,0.011478972559815349,0.23252360511686504,0.1872103886526138,0.19994405100834364,0.08319263837551867,0.4467819596395757,0.3298424497742264,0.46572280840564195,0.43154954373728194,0.458759444921188,0.477860351827239
22,-0.02762055160011891,59,946,537,0.8915981192837834,0.2849604854283846,0.013060590655573183,0.23100680743013288,0.18789809482230804,0.201251126886525,0.08182289477707692,0.43067811407037,0.4165504588129873,0.44768726830457817,0.4137482838648056,0.4533484234061912,0.42242026203620453
23,-0.0019288499503932622,61,974,555,0.941608539858445,0.28639655945374026,0.0129532849244403,0.22925478350423634,0.19087415564975516,0.2003521306109989,0.08016908585683084,0.39998543147577087,0.3338396769089341,0.40732303901267636,0.38574045735707696,0.40797612895112384,0.3756370213639524
24,-0.06621756565478029,61,1003,574,0.941608539858445,0.28804599438144324,0.012441520265974945,0.2261443845310488,0.187180822725327,0.20432936400345336,0.08185791409275192,0.3865834876218558,0.3032857317068779,0.39109811777618314,0.3662872879143118,0.4081274439973518,0.37000866030322405
25,-0.0004282524191408477,61,1031,593,0.941608539858445,0.2893307317422654,0.011376717744410014,0.23240857320507374,0.18281402337200392,0.20262597821547765,0.0814439757207695,0.3615086099607855,0.25056041124617523,0.3776564492500175,0.327020660865845,0.3685565087373467,0.35267393398157926
26,-0.01269692810779089,61,1060,612,0.941608539858445,0.28905948960031436,0.009194581325591537,0.23483803754290797,0.18149739768764614,0.20620470901445973,0.07920578482907878,0.3492817191344083,0.14954984375048624,0.3758975952231374,0.3163541638328283,0.360558048089824,0.3347278130677094
27,-0.023557547222558813,64,1088,630,1.0216512475319814,0.28959571506171,0.011694956158270705,0.2354165704199487,0.18298187147874873,0.20075951687989615,0.07955137000143057,0.34091274556716417,0.23267717880017114,0.3626919325998686,0.3008421531285529,0.33991072109839177,0.32319822906358836
