iterations,aggregate_opinions,radicalised_agents,silenced_agents,negated_agents,radicalisation_logodds,layer_interdependences_A,layer_interdependences_B,layer_interdependences_C,layer_interdependences_D,layer_interdependences_E,layer_interdependences_F,layer_polarisations_A,layer_polarisations_B,layer_polarisations_C,layer_polarisations_D,layer_polarisations_E,layer_polarisations_F
1,0.04143945105799382,3,51,49,0.030459207484708546,0.16506213656344287,0.1696406119649717,0.17291057156882186,0.16773576416154576,0.16313927517245563,0.16151164056876155,0.1373094821453948,0.1373094821453948,0.1373094821453948,0.1373094821453948,0.1373094821453948,0.1373094821453948
2,0.036067884283221316,10,101,91,0.10536051565782631,0.16343413759069736,0.17026366540595225,0.17136347698538507,0.16524910122502057,0.16438814006746805,0.16530147872547601,0.19229028260823477,0.19229028260823477,0.19229028260823477,0.19229028260823477,0.19229028260823477,0.19229028260823477
3,0.060771884363451004,18,150,128,0.19845093872383823,0.16451026255308174,0.1668956067676087,0.1703128402743504,0.16618772263197928,0.16561151801047877,0.16648204976250128,0.23226934193573076,0.23226934193573076,0.23226934193573076,0.23226934193573076,0.23226934193573076,0.23226934193573076
4,0.0543125886342165,25,196,155,0.2876820724517809,0.16267591371143986,0.1674140238769085,0.17047504602401065,0.16610989794073341,0.16557117912868785,0.16775393931821816,0.275434834495768,0.275434834495768,0.275434834495768,0.275434834495768,0.275434834495768,0.275434834495768
5,0.03663779594374538,30,237,183,0.3566749439387324,0.16517471759665983,0.16712158972684726,0.16664094984154268,0.16664465437835982,0.1659875993311077,0.168430489125481,0.3022393862644818,0.3022393862644818,0.3022393862644818,0.3022393862644818,0.3022393862644818,0.3022393862644818
6,0.06433018953146662,32,285,213,0.3856624808119847,0.16714710329282825,0.1669917870865559,0.16466280612769227,0.16774137771984954,0.1647069661883328,0.1687499595847437,0.3100590481879741,0.3100590481879741,0.3100590481879741,0.3100590481879741,0.3100590481879741,0.3100590481879741
7,0.11110912379660082,43,327,235,0.5621189181535412,0.16717671248802005,0.16507924097503454,0.16606416630238496,0.16690403011947244,0.166491796295566,0.1682840538195261,0.31061956984391675,0.31061956984391675,0.31061956984391675,0.31061956984391675,0.31061956984391675,0.31061956984391675
8,0.08419302189975028,46,369,256,0.616186139423817,0.16682303821002886,0.16510361954550587,0.16548064592169265,0.16893116969045022,0.16491001563530608,0.16875151099701824,0.3018342913312639,0.3018342913312639,0.3018342913312639,0.3018342913312639,0.3018342913312639,0.3018342913312639
9,0.14518204403857332,48,404,277,0.6539264674066639,0.16721554713653103,0.16340133936189055,0.16721287432459134,0.16925518266681644,0.16578230218660964,0.16713275432356373,0.27610753596573384,0.27610753596573384,0.27610753596573384,0.27610753596573384,0.27610753596573384,0.27610753596573384
10,0.08885207576794707,49,441,298,0.6733445532637655,0.16851714612165886,0.16374683856567276,0.1672361293467857,0.16724215606937146,0.16569500757200473,0.16756272232450667,0.32035052274422365,0.32035052274422365,0.32035052274422365,0.32035052274422365,0.32035052274422365,0.32035052274422365
11,0.04172221608950009,50,476,316,0.6931471805599453,0.16595524942292955,0.16694614258269388,0.1667334910583585,0.16395228168157358,0.16868700217193752,0.16772583308250721,0.3430992991698907,0.3430992991698907,0.3430992991698907,0.3430992991698907,0.3430992991698907,0.3430992991698907
