iterations,aggregate_opinions,radicalised_agents,silenced_agents,negated_agents,radicalisation_logodds,layer_interdependences_A,layer_interdependences_B,layer_interdependences_C,layer_interdependences_D,layer_interdependences_E,layer_interdependences_F,layer_polarisations_A,layer_polarisations_B,layer_polarisations_C,layer_polarisations_D,layer_polarisations_E,layer_polarisations_F
1,0.03770997050596278,3,52,48,0.030459207484708546,0.16506213656344287,0.16964061196497168,0.1729105715688219,0.16773576416154573,0.16313927517245566,0.16151164056876152,0.1373094821453948,0.1373094821453948,0.1373094821453948,0.1373094821453948,0.1373094821453948,0.1373094821453948
2,-0.05948047763547236,4,107,92,0.04082199452025513,0.16470169674030208,0.170321307763401,0.1731782476368494,0.16552416259320268,0.16264133734727781,0.16363324791897288,0.1714601660490736,0.1714601660490736,0.1714601660490736,0.1714601660490736,0.1714601660490736,0.1714601660490736
3,0.018237612389803034,6,158,139,0.06187540371808747,0.1668596190578882,0.16861315006766636,0.16973930137811766,0.1639759245713568,0.16397120360863904,0.16684080131633394,0.18533089684729054,0.18533089684729054,0.18533089684729054,0.18533089684729054,0.18533089684729054,0.18533089684729054
4,-0.08929181618363298,14,201,177,0.15082288973458363,0.1678222675394133,0.16679762742712476,0.16725991017404812,0.1621972829572745,0.16517341775138566,0.17074949415075671,0.2171601115190185,0.2171601115190185,0.2171601115190185,0.2171601115190185,0.2171601115190185,0.2171601115190185
5,0.03900809547021569,24,244,211,0.2744368457017603,0.16787076015520297,0.16825473165723606,0.1654985560865249,0.1637219820690473,0.1647799977756484,0.16987397225633669,0.2559741743532257,0.2559741743532257,0.2559741743532257,0.2559741743532257,0.2559741743532257,0.2559741743532257
6,-0.10125692127038943,31,291,241,0.371063681390832,0.1683355741425559,0.16802144509326825,0.16523635513291812,0.16431584981766897,0.16769425246692443,0.16639652334665853,0.30008484280336245,0.30008484280336245,0.30008484280336245,0.30008484280336245,0.30008484280336245,0.30008484280336245
7,0.02077150412617013,34,332,274,0.4155154439616659,0.16896937596638578,0.1683666621442684,0.16728414734008573,0.1633340680932534,0.16576404111914753,0.16628170533685627,0.2891720130180342,0.2891720130180342,0.2891720130180342,0.2891720130180342,0.2891720130180342,0.2891720130180342
8,-0.08232338806788052,38,373,301,0.4780358009429998,0.1682693459302,0.16946415222278932,0.16835913960164214,0.16261070458271787,0.16486084425020786,0.16643581341244076,0.2935973838142314,0.2935973838142314,0.2935973838142314,0.2935973838142314,0.2935973838142314,0.2935973838142314
9,0.033016481769578464,38,420,329,0.4780358009429998,0.16929684093116665,0.17182845465600882,0.1648119667574953,0.16121403628442224,0.16498634871135845,0.16786235265955257,0.33320339722478487,0.33320339722478487,0.33320339722478487,0.33320339722478487,0.33320339722478487,0.33320339722478487
10,-0.039739494623714205,41,458,358,0.5276327420823718,0.16944222707349005,0.1708336351501537,0.1630511774471637,0.16211188928202824,0.16738733436910477,0.16717373667806218,0.3116490034832584,0.3116490034832584,0.3116490034832584,0.3116490034832584,0.3116490034832584,0.3116490034832584
11,0.06293547299556493,42,498,382,0.5447271754416719,0.16673215802924776,0.17008381984493295,0.16458544072987547,0.1630809884789417,0.1684412778307182,0.16707631508628387,0.36232089211322327,0.36232089211322327,0.36232089211322327,0.36232089211322327,0.36232089211322327,0.36232089211322327
12,-0.013822316745469448,43,535,407,0.5621189181535412,0.1656976201645141,0.16924175985144577,0.16525250584069623,0.1629828700682913,0.1692577032582942,0.16756754081675962,0.3378821017491395,0.3378821017491395,0.3378821017491395,0.3378821017491395,0.3378821017491395,0.3378821017491395
13,-0.012599377367587842,44,571,430,0.5798184952529422,0.16528419370358677,0.1709131702305858,0.16674193213403468,0.1632571809992325,0.16758913045403967,0.16621439247852127,0.38742114522242205,0.38742114522242205,0.38742114522242205,0.38742114522242205,0.38742114522242205,0.38742114522242205
14,-0.037625982757142615,47,609,453,0.6348782724359695,0.1657617367354854,0.17109603646531538,0.16577321502142603,0.16403331180871994,0.16739474047306996,0.16594095949598778,0.4242195234743601,0.4242195234743601,0.4242195234743601,0.4242195234743601,0.4242195234743601,0.4242195234743601
15,-0.06766971757087833,49,643,473,0.6733445532637655,0.16745066479546933,0.16954364898509103,0.16501435983660112,0.16422208353666407,0.16672319528923737,0.16704604755693972,0.4082492763007774,0.4082492763007774,0.4082492763007774,0.4082492763007774,0.4082492763007774,0.4082492763007774
16,-0.06254822905707529,53,673,491,0.7550225842780328,0.1673681572213339,0.17041119255490986,0.16460339979323485,0.1646012759357223,0.16631508734717484,0.1667008871476224,0.40745892532919065,0.40745892532919065,0.40745892532919065,0.40745892532919065,0.40745892532919065,0.40745892532919065
17,-0.13538671798244334,55,703,508,0.7985076962177717,0.1669731440565265,0.16941374896288036,0.16718980899513594,0.16402041151142693,0.16543988644067267,0.16696300003335515,0.4307756343597117,0.4307756343597117,0.4307756343597117,0.4307756343597117,0.4307756343597117,0.4307756343597117
18,-0.13709572526134073,55,737,525,0.7985076962177717,0.16529959187638682,0.16906627559498077,0.16807172052306202,0.16380366630789828,0.1664420653119876,0.16731668038567934,0.42526420321179964,0.42526420321179964,0.42526420321179964,0.42526420321179964,0.42526420321179964,0.42526420321179964
19,-0.14772132562335738,58,767,543,0.867500567704723,0.16528100803068768,0.16791256853006264,0.16722853822616673,0.16526849787653608,0.16617188063372146,0.16813750670282646,0.40566101871643356,0.40566101871643356,0.40566101871643356,0.40566101871643356,0.40566101871643356,0.40566101871643356
20,-0.1218316038611016,60,793,561,0.916290731874155,0.16595313538137432,0.1688930262338754,0.16534125581383818,0.16571090710914108,0.165321278300374,0.16878039716139462,0.4130046353299873,0.4130046353299873,0.4130046353299873,0.4130046353299873,0.4130046353299873,0.4130046353299873
21,-0.17237756013257463,61,821,579,0.941608539858445,0.16781835743916404,0.16713679600024173,0.16481562626613985,0.1672015406262272,0.16481601960423564,0.16821166006399008,0.36229631062686335,0.36229631062686335,0.36229631062686335,0.36229631062686335,0.36229631062686335,0.36229631062686335
22,-0.07357174186885311,62,847,596,0.9675840262617056,0.16602518753629078,0.166367331786881,0.16784420877882184,0.16693131925476873,0.16535318310897482,0.16747876953426033,0.347418583920007,0.347418583920007,0.347418583920007,0.347418583920007,0.347418583920007,0.347418583920007
23,-0.13588882317506162,65,874,611,1.0498221244986778,0.16686028299759015,0.16671735958922,0.166685358984431,0.16627893827025006,0.16629714224990205,0.16716091790860516,0.3539795037399338,0.3539795037399338,0.3539795037399338,0.3539795037399338,0.3539795037399338,0.3539795037399338
24,-0.11321996053391122,65,895,625,1.0498221244986778,0.1652826230081338,0.16711569152045452,0.16577600021720326,0.16574400049062205,0.16717366799410432,0.16890801676947925,0.38952256842571586,0.38952256842571586,0.38952256842571586,0.38952256842571586,0.38952256842571586,0.38952256842571586
25,-0.15142237654937976,65,919,639,1.0498221244986778,0.16501053350294312,0.16853847131310098,0.16898508405012747,0.16343461501706047,0.1663407071180152,0.16769058899874767,0.35150337769885687,0.35150337769885687,0.35150337769885687,0.35150337769885687,0.35150337769885687,0.35150337769885687
26,-0.07869860228148823,65,939,656,1.0498221244986778,0.16605703320847692,0.16912415435123038,0.1673298546447381,0.16624291848288383,0.16523006323670195,0.16601597607596763,0.3663683743407102,0.3663683743407102,0.3663683743407102,0.3663683743407102,0.3663683743407102,0.3663683743407102
27,-0.09916022505815995,66,962,671,1.07880966137193,0.16770230396068966,0.1695141373683214,0.16784946818046276,0.16413454404057307,0.16516266337042793,0.1656368830795265,0.376293293041744,0.376293293041744,0.376293293041744,0.376293293041744,0.376293293041744,0.376293293041744
28,-0.034930729254103995,68,982,686,1.139434283188365,0.16720853146152334,0.1666612262721095,0.16645348886348685,0.1661459790527134,0.16611290212098684,0.1674178722291836,0.3592975378998527,0.3592975378998527,0.3592975378998527,0.3592975378998527,0.3592975378998527,0.3592975378998527
29,-0.12840285863906428,69,1004,701,1.1711829815029449,0.16677483159067893,0.16616214425385628,0.1674916811204462,0.1655539768034667,0.16844635497724555,0.1655710112543074,0.3383191950032736,0.3383191950032736,0.3383191950032736,0.3383191950032736,0.3383191950032736,0.3383191950032736
30,-0.04347517699537251,69,1023,717,1.1711829815029449,0.16746966773271585,0.16801227223879872,0.16577837896996392,0.16567485956212052,0.16963033066798325,0.16343449082841568,0.33593675574496623,0.33593675574496623,0.33593675574496623,0.33593675574496623,0.33593675574496623,0.33593675574496623
31,-0.12998964868006466,70,1048,735,1.203972804325936,0.16794239036817984,0.1683888481917122,0.16421211978932967,0.16691144863546062,0.16830529294315744,0.16423990007216088,0.367404801420879,0.367404801420879,0.367404801420879,0.367404801420879,0.367404801420879,0.367404801420879
32,-0.09860183876149158,70,1070,750,1.203972804325936,0.16876789344086185,0.16912510594664185,0.1641350069235786,0.16515751466171813,0.16982607126764784,0.16298840775955326,0.34926381645376664,0.34926381645376664,0.34926381645376664,0.34926381645376664,0.34926381645376664,0.34926381645376664
33,-0.09003825339890584,70,1095,767,1.203972804325936,0.1679759036733312,0.1689204327142023,0.1662479249735797,0.16575783399234367,0.17038249209317363,0.16071541255336647,0.338689603493594,0.338689603493594,0.338689603493594,0.338689603493594,0.338689603493594,0.338689603493594
34,-0.06644539461553739,70,1116,782,1.203972804325936,0.16677481535421385,0.16669177432454443,0.16500236199185894,0.1678797375481652,0.16727936872748062,0.1663719420537343,0.3480978772839736,0.3480978772839736,0.3480978772839736,0.3480978772839736,0.3480978772839736,0.3480978772839736
35,-0.087483623625718,71,1135,798,1.2378743560016172,0.1671359343941765,0.1671175141840182,0.16538471478585443,0.16746905650960525,0.16744771052344884,0.16544506960289662,0.38261425747665395,0.38261425747665395,0.38261425747665395,0.38261425747665395,0.38261425747665395,0.38261425747665395
36,-0.09636035647292901,71,1154,813,1.2378743560016172,0.16716165655480753,0.16916622212800253,0.16594813684200352,0.16692542675901093,0.16693528339419253,0.16386327432198158,0.39373483690719746,0.39373483690719746,0.39373483690719746,0.39373483690719746,0.39373483690719746,0.39373483690719746
37,-0.12782597682892125,71,1171,827,1.2378743560016172,0.16767524858652597,0.16794187983519998,0.1652638796525209,0.16698895786721069,0.1669679642864216,0.1651620697721217,0.3684555593927162,0.3684555593927162,0.3684555593927162,0.3684555593927162,0.3684555593927162,0.3684555593927162
38,-0.1392601061481528,71,1190,841,1.2378743560016172,0.16780038903695987,0.1680412175361275,0.16599835168008456,0.16683284890164807,0.16628415038844835,0.16504304245673004,0.33724979464795557,0.33724979464795557,0.33724979464795557,0.33724979464795557,0.33724979464795557,0.33724979464795557
39,-0.0497719119502704,71,1208,854,1.2378743560016172,0.16668780691572055,0.16857503537724575,0.16484677973981376,0.1662868212481174,0.1697398335625641,0.16386372315654057,0.3203231103656044,0.3203231103656044,0.3203231103656044,0.3203231103656044,0.3203231103656044,0.3203231103656044
40,-0.09733821489871673,72,1228,868,1.2729656758128873,0.16741675164303454,0.16751260630805426,0.16551613656827172,0.16690589595195912,0.1680148232938364,0.16463378623484595,0.3223432289750284,0.3223432289750284,0.3223432289750284,0.3223432289750284,0.3223432289750284,0.3223432289750284
41,-0.05503018871470824,72,1247,883,1.2729656758128873,0.16578215227811446,0.16837858752163284,0.163481599728418,0.16648624682066251,0.1678653724112275,0.16800604123994592,0.32352503522764287,0.32352503522764287,0.32352503522764287,0.32352503522764287,0.32352503522764287,0.32352503522764287
