iterations,aggregate_opinions,radicalised_agents,silenced_agents,negated_agents,radicalisation_logodds,layer_interdependences_A,layer_interdependences_B,layer_interdependences_C,layer_interdependences_D,layer_interdependences_E,layer_interdependences_F,layer_polarisations_A,layer_polarisations_B,layer_polarisations_C,layer_polarisations_D,layer_polarisations_E,layer_polarisations_F
1,0.00987323970310465,3,48,39,0.030459207484708546,0.16506213656344293,0.16964061196497174,0.1729105715688219,0.16773576416154576,0.16313927517245558,0.16151164056876152,0.1373094821453948,0.1373094821453948,0.1373094821453948,0.1373094821453948,0.1373094821453948,0.1373094821453948
2,0.019415671727196947,14,89,69,0.15082288973458363,0.16442223355367672,0.16775327089681888,0.17012029049804953,0.1665079961440076,0.16561606472935272,0.16558014417810252,0.18303542871419434,0.18303542871419434,0.18303542871419434,0.18303542871419434,0.18303542871419434,0.18303542871419434
3,0.05264789632326914,20,126,92,0.22314355131420976,0.16628187532734462,0.1679905107763734,0.1632255031958758,0.16668250310011046,0.1671612963093752,0.16865831129091827,0.20529579775512374,0.20529579775512374,0.20529579775512374,0.20529579775512374,0.20529579775512374,0.20529579775512374
4,-0.03046941562651945,27,168,115,0.31471074483970024,0.168460127649031,0.16853632386068243,0.1637710861354926,0.16513208054785505,0.1668467748413374,0.16725360696560487,0.23236396982050497,0.23236396982050497,0.23236396982050497,0.23236396982050497,0.23236396982050497,0.23236396982050497
5,0.03596314710498798,32,209,138,0.3856624808119847,0.17092755057822678,0.1704866565051416,0.16491801420886512,0.16516035893114325,0.1629641894021431,0.16554323037448412,0.2351915039678166,0.2351915039678166,0.2351915039678166,0.2351915039678166,0.2351915039678166,0.2351915039678166
6,-0.02202370888645216,37,249,161,0.4620354595965587,0.16781888597527198,0.1696391808895706,0.1640114520962973,0.16625648966073076,0.16510536757544853,0.167168623802683,0.2183960397465609,0.2183960397465609,0.2183960397465609,0.2183960397465609,0.2183960397465609,0.2183960397465609
7,-0.030931499877596576,45,289,180,0.5978370007556204,0.16936169542070464,0.1687578161823072,0.1654723234765866,0.16514115994063633,0.1654694741092181,0.165797530870546,0.2848338095972759,0.2848338095972759,0.2848338095972759,0.2848338095972759,0.2848338095972759,0.2848338095972759
8,-0.12680579626799593,50,324,195,0.6931471805599453,0.16839553261197635,0.16988728066027842,0.16562611855939366,0.16669136532249107,0.16540145245974208,0.1639982503861167,0.2772970600190764,0.2772970600190764,0.2772970600190764,0.2772970600190764,0.2772970600190764,0.2772970600190764
9,-0.08233218261499992,51,360,210,0.7133498878774648,0.16716896958850513,0.17006976426073486,0.16503842616027917,0.1677946909006044,0.16656687307496132,0.16336127601491832,0.31232894464565447,0.31232894464565447,0.31232894464565447,0.31232894464565447,0.31232894464565447,0.31232894464565447
10,-0.04742830655645488,54,390,224,0.7765287894989964,0.16689549329466263,0.16771335362497553,0.16711560229997652,0.16800069543856225,0.1652540151219279,0.1650208402198893,0.3290611044702964,0.3290611044702964,0.3290611044702964,0.3290611044702964,0.3290611044702964,0.3290611044702964
11,0.019409677331923413,56,421,242,0.8209805520698303,0.16605495729794764,0.16849622495078936,0.16594123743734027,0.16836018882352072,0.16542755922970834,0.16571983226069503,0.29987457034731774,0.29987457034731774,0.29987457034731774,0.29987457034731774,0.29987457034731774,0.29987457034731774
12,0.09508752691854815,58,454,259,0.867500567704723,0.16678867762492577,0.1687603925111911,0.16395604419457327,0.1664325881998254,0.16468735863892345,0.16937493883055907,0.27175732915147527,0.27175732915147527,0.27175732915147527,0.27175732915147527,0.27175732915147527,0.27175732915147527
13,0.047617445730123976,59,479,272,0.8915981192837834,0.1688947771988864,0.16722194897494802,0.16630664586638547,0.16579942386892058,0.16353180468859904,0.16824539940226166,0.2518084991921783,0.2518084991921783,0.2518084991921783,0.2518084991921783,0.2518084991921783,0.2518084991921783
14,0.08082513815558717,61,509,287,0.941608539858445,0.1664266209965956,0.16607851706638294,0.16762456163465939,0.16857096244805142,0.1616860480205407,0.16961328983376867,0.25352179414650544,0.25352179414650544,0.25352179414650544,0.25352179414650544,0.25352179414650544,0.25352179414650544
15,0.05257113458387707,61,528,299,0.941608539858445,0.1647899919857661,0.16608017536007366,0.1663796721481982,0.16900928064014267,0.16592764596837725,0.1678132338974433,0.2992461456940512,0.2992461456940512,0.2992461456940512,0.2992461456940512,0.2992461456940512,0.2992461456940512
16,-0.005716374573464989,65,551,311,1.0498221244986778,0.16599181321530337,0.16820838186099804,0.16749811010791543,0.16790235200247117,0.16341176923077505,0.1669875735825308,0.26298035645004136,0.26298035645004136,0.26298035645004136,0.26298035645004136,0.26298035645004136,0.26298035645004136
17,0.01575923958629475,65,578,324,1.0498221244986778,0.1654714125855315,0.16667803270075698,0.16690752909621642,0.167300649294389,0.16722508807459038,0.1664172882485136,0.28388805692528873,0.28388805692528873,0.28388805692528873,0.28388805692528873,0.28388805692528873,0.28388805692528873
18,0.09915732578524147,65,605,338,1.0498221244986778,0.16798853640149627,0.16763705497148404,0.16756474208889482,0.1657275169848571,0.16347065679610695,0.16761149275716145,0.3166858821196936,0.3166858821196936,0.3166858821196936,0.3166858821196936,0.3166858821196936,0.3166858821196936
19,0.027726815649096685,66,629,351,1.07880966137193,0.1645573455644541,0.16711823500911266,0.16641487833261634,0.1667042162194901,0.16695082644203796,0.16825449843228696,0.3300112718124847,0.3300112718124847,0.3300112718124847,0.3300112718124847,0.3300112718124847,0.3300112718124847
20,0.00809916653553432,66,651,363,1.07880966137193,0.16524308610939833,0.16687477681010854,0.1678191939929539,0.16600870563407052,0.1654928252535982,0.16856141219987283,0.3417711174592558,0.3417711174592558,0.3417711174592558,0.3417711174592558,0.3417711174592558,0.3417711174592558
21,0.019449642721678748,66,672,376,1.07880966137193,0.16842260713437057,0.16641873765612228,0.16639041576147018,0.16584284645953323,0.16110274442365075,0.1718226485648563,0.3024908014826663,0.3024908014826663,0.3024908014826663,0.3024908014826663,0.3024908014826663,0.3024908014826663
22,0.05135144794406944,67,695,389,1.1086626245216114,0.16711019664962856,0.16692692494876843,0.1652550709182324,0.16568604953548827,0.1628269786485081,0.17219477929937438,0.32299727537716616,0.32299727537716616,0.32299727537716616,0.32299727537716616,0.32299727537716616,0.32299727537716616
