iterations,aggregate_opinions,radicalised_agents,silenced_agents,negated_agents,radicalisation_logodds,layer_interdependences_A,layer_interdependences_B,layer_interdependences_C,layer_interdependences_D,layer_polarisations_A,layer_polarisations_B,layer_polarisations_C,layer_polarisations_D
1,0.060921905808839695,0,0,16,0.0,0.24237191748370793,0.25141250125589026,0.2514975973197336,0.25471798394066675,0.13460307315561093,0.13460307315561093,0.13460307315561093,0.13460307315561093
2,0.039402747238190906,1,4,27,0.025317807984289876,0.24421048667571685,0.2433075468493197,0.25634504445982387,0.2561369220151382,0.16580643950691656,0.16580643950691656,0.16580643950691656,0.16580643950691656
3,0.01988047942801181,5,7,39,0.13353139262452263,0.24292078963303973,0.24921344041543733,0.25783802212377355,0.2500277478277472,0.20011473141606498,0.20011473141606498,0.20011473141606498,0.20011473141606498
4,0.09509037871642677,7,12,48,0.19237189264745608,0.2438321727769534,0.25312329886762913,0.25651284998868545,0.24653167836673148,0.23526184681849874,0.23526184681849874,0.23526184681849874,0.23526184681849874
5,-0.08621881497887042,8,18,59,0.22314355131420976,0.24626082375529923,0.25527189481045454,0.2555451410226742,0.24292214041157278,0.2790227246297475,0.2790227246297475,0.2790227246297475,0.2790227246297475
6,-0.05770004739969918,8,24,66,0.22314355131420976,0.24880504021170852,0.2542691002685891,0.25514724863369814,0.24177861088600539,0.2963233045013473,0.2963233045013473,0.2963233045013473,0.2963233045013473
7,-0.17390543699454608,10,33,73,0.2876820724517809,0.25160071697512054,0.25401804081246215,0.2526961636926068,0.24168507851981302,0.3215978661564387,0.3215978661564387,0.3215978661564387,0.3215978661564387
8,-0.0681017757853795,10,41,80,0.2876820724517809,0.25611457162230483,0.2503866262344789,0.25161618646470724,0.24188261567850966,0.3232609392361781,0.3232609392361781,0.3232609392361781,0.3232609392361781
9,-0.09853449552441727,11,48,89,0.3215836241274623,0.25550934497733435,0.25075991480869586,0.2480891779286022,0.24564156228536807,0.3459721563278913,0.3459721563278913,0.3459721563278913,0.3459721563278913
10,-0.03909338436862947,11,56,100,0.3215836241274623,0.25623785935164217,0.25362870988531505,0.24404859198020967,0.2460848387828338,0.3705937260843157,0.3705937260843157,0.3705937260843157,0.3705937260843157
11,0.022897861185674585,12,62,111,0.3566749439387324,0.25578803250919735,0.2534984071506137,0.2438292233399914,0.24688433700019838,0.3625709908966397,0.3625709908966397,0.3625709908966397,0.3625709908966397
12,0.12697224573748173,12,64,118,0.3566749439387324,0.2567106218598018,0.25346184231933244,0.2414052203613329,0.2484223154595342,0.37453583377342364,0.37453583377342364,0.37453583377342364,0.37453583377342364
13,0.09377824275843127,12,67,127,0.3566749439387324,0.2554295018999677,0.2550781851390266,0.24283321872107766,0.2466590942399296,0.38569828848239956,0.38569828848239956,0.38569828848239956,0.38569828848239956
14,0.03218071485890813,13,68,137,0.39304258810960724,0.25767833527130224,0.2537681948315439,0.238476570792045,0.25007689910510905,0.41072641999703585,0.41072641999703585,0.41072641999703585,0.41072641999703585
15,0.11360807796749865,14,71,144,0.4307829160924542,0.2574196801730601,0.2517159844164249,0.24015899777416783,0.2507053376363484,0.4248455802702927,0.4248455802702927,0.4248455802702927,0.4248455802702927
16,0.09665552122879625,15,72,151,0.4700036292457355,0.25748610485135787,0.24849521584640621,0.24078555035044227,0.2532331289517943,0.41087871605855203,0.41087871605855203,0.41087871605855203,0.41087871605855203
17,0.06206348723251391,15,73,159,0.4700036292457355,0.2583611731002406,0.24680422311994943,0.2406576149913211,0.2541769887884895,0.3918226246695626,0.3918226246695626,0.3918226246695626,0.3918226246695626
18,-0.036750078265055226,15,73,168,0.4700036292457355,0.25623900826051466,0.25011887530360016,0.2406548133962547,0.25298730303963207,0.3659396967059493,0.3659396967059493,0.3659396967059493,0.3659396967059493
19,0.010234678395243302,15,76,175,0.4700036292457355,0.25957416802176214,0.2509298773000976,0.23867382597041537,0.25082212870772275,0.3665477897155252,0.3665477897155252,0.3665477897155252,0.3665477897155252
20,-0.19332510006342654,15,81,184,0.4700036292457355,0.26135173533964234,0.2528166448229619,0.23690551704138085,0.24892610279601388,0.39472743549769834,0.39472743549769834,0.39472743549769834,0.39472743549769834
21,-0.14888746401123448,16,84,191,0.5108256237659907,0.2580810920188637,0.25186259227589625,0.24288085915581592,0.24717545654942588,0.4049520318285433,0.4049520318285433,0.4049520318285433,0.4049520318285433
22,-0.2135031972692849,16,91,198,0.5108256237659907,0.25377192217655054,0.25490498249481913,0.246691369237673,0.24463172609095618,0.39497871480255936,0.39497871480255936,0.39497871480255936,0.39497871480255936
23,-0.18357166250616053,17,94,204,0.5533852381847867,0.2522801498715344,0.25265526615856343,0.25087390363430506,0.24419068033559596,0.4152112192570355,0.4152112192570355,0.4152112192570355,0.4152112192570355
24,-0.19930311430544725,17,99,208,0.5533852381847867,0.25145022803802763,0.25095763350993144,0.25313723984803,0.24445489860401137,0.42010285960322075,0.42010285960322075,0.42010285960322075,0.42010285960322075
25,-0.12895487030257205,18,102,212,0.5978370007556204,0.25147760262757335,0.2509077322702479,0.25299111430305,0.24462355079912998,0.39696371490937127,0.39696371490937127,0.39696371490937127,0.39696371490937127
26,-0.07155132759427126,18,106,218,0.5978370007556204,0.2517033216514491,0.2464619339980853,0.25747232223009053,0.2443624221203766,0.37975943523137246,0.37975943523137246,0.37975943523137246,0.37975943523137246
27,-0.11178452855508211,19,109,224,0.6443570163905132,0.2541272997447309,0.24292279682952578,0.2598246303962215,0.24312527302952255,0.3727885111988815,0.3727885111988815,0.3727885111988815,0.3727885111988815
28,-0.0896157254779548,20,111,229,0.6931471805599453,0.2538915134069609,0.24306387164698548,0.2595491798961937,0.24349543504985863,0.38704209090647296,0.38704209090647296,0.38704209090647296,0.38704209090647296
29,-0.0912158674061579,20,113,233,0.6931471805599453,0.2559925972130976,0.24326431137625948,0.2573264204885889,0.24341667092205388,0.37075447487234076,0.37075447487234076,0.37075447487234076,0.37075447487234076
30,-0.07043228430951591,20,118,237,0.6931471805599453,0.25577003715577373,0.2373064304864951,0.25756798882174925,0.2493555435359826,0.388539799626431,0.388539799626431,0.388539799626431,0.388539799626431
31,0.039072576588526906,20,122,243,0.6931471805599453,0.2570492746894777,0.23462280416334041,0.2558494085018442,0.25247851264533866,0.3998518307745341,0.3998518307745341,0.3998518307745341,0.3998518307745341
32,0.005877635540258097,21,126,247,0.7444404749474959,0.2576714285178835,0.23744876684342456,0.25402834024447957,0.2508514643942132,0.38916608257310076,0.38916608257310076,0.38916608257310076,0.38916608257310076
33,-0.08281265842873796,21,131,255,0.7444404749474959,0.2558243754951251,0.23987380132678668,0.25578110450186925,0.2485207186762207,0.3523822727341937,0.3523822727341937,0.3523822727341937,0.3523822727341937
34,-0.07050457607410598,22,133,261,0.7985076962177717,0.25607850958138856,0.24443154069613743,0.2532688687380826,0.2462210809843916,0.37525064094291516,0.37525064094291516,0.37525064094291516,0.37525064094291516
35,-0.06539442466221018,24,134,264,0.916290731874155,0.25406698687849294,0.24602823774951724,0.25473393815818324,0.24517083721380825,0.35214817089376693,0.35214817089376693,0.35214817089376693,0.35214817089376693
36,-0.001536062909653857,25,140,271,0.9808292530117263,0.25167321746741456,0.2486420109963828,0.2519775519626534,0.24770721957355193,0.3732394679017571,0.3732394679017571,0.3732394679017571,0.3732394679017571
37,-0.08481539571143058,25,144,277,0.9808292530117263,0.25448166899304714,0.24538257456875134,0.2522239579699109,0.24791179846829248,0.3766166424138416,0.3766166424138416,0.3766166424138416,0.3766166424138416
38,0.048823517478185495,25,148,285,0.9808292530117263,0.25196924690280575,0.2473132134172954,0.24865879828631632,0.25205874139358314,0.41569712998087005,0.41569712998087005,0.41569712998087005,0.41569712998087005
39,0.013454986528579465,25,151,292,0.9808292530117263,0.25384729028123876,0.24685902363089152,0.24340803743574757,0.2558856486521258,0.43930414956647906,0.43930414956647906,0.43930414956647906,0.43930414956647906
40,0.025774616679741746,25,152,297,0.9808292530117263,0.25554192316316016,0.24742347269162587,0.24480599659762625,0.2522286075475905,0.4271868032173269,0.4271868032173269,0.4271868032173269,0.4271868032173269
41,0.02108021393685787,25,154,301,0.9808292530117263,0.25124917928515683,0.24498482868950586,0.25009990614494093,0.2536660858803994,0.4490009522964647,0.4490009522964647,0.4490009522964647,0.4490009522964647
42,0.16020713498746758,25,156,306,0.9808292530117263,0.25290017509306634,0.244056394229453,0.2505597236959623,0.2524837069815195,0.431464893136176,0.431464893136176,0.431464893136176,0.431464893136176
