iterations,aggregate_opinions,radicalised_agents,silenced_agents,negated_agents,radicalisation_logodds,layer_interdependences_A,layer_interdependences_B,layer_interdependences_C,layer_interdependences_D,layer_polarisations_A,layer_polarisations_B,layer_polarisations_C,layer_polarisations_D
1,-0.05581573654517,0,13,38,0.0,0.24674593516748383,0.25074083988507195,0.24969541988068802,0.2528178050667556,0.1293892324731295,0.1293892324731295,0.1293892324731295,0.1293892324731295
2,-0.1100975737859998,3,31,79,0.030459207484708546,0.2497132434766365,0.24998550858940394,0.24929936934000865,0.2510018785939537,0.1560332431024276,0.1560332431024276,0.1560332431024276,0.1560332431024276
3,-0.02705597469816722,5,54,120,0.051293294387550536,0.2488237329342652,0.2505965762893333,0.2504750075994266,0.25010468317697476,0.19162410368875227,0.19162410368875227,0.19162410368875227,0.19162410368875227
4,-0.021926608958316662,6,85,163,0.06187540371808747,0.24930740468943313,0.2506129221281968,0.25114096690242854,0.24893870627994602,0.24427374397926785,0.24427374397926785,0.24427374397926785,0.24427374397926785
5,-0.017190408663409353,9,119,199,0.09431067947124132,0.24917419877722105,0.24927776301777782,0.2538453322994591,0.24770270590554658,0.2683216498932489,0.2683216498932489,0.2683216498932489,0.2683216498932489
6,-0.1024319678524745,14,151,231,0.15082288973458363,0.25021660748774455,0.24755470558246914,0.254176044921079,0.24805264200870708,0.30334425142508153,0.30334425142508153,0.30334425142508153,0.30334425142508153
7,-0.05497197645694045,18,175,264,0.19845093872383823,0.2520003252738501,0.24636302579559533,0.2534054421800936,0.24823120675046167,0.34150277076815927,0.34150277076815927,0.34150277076815927,0.34150277076815927
8,-0.0757030003156522,19,203,295,0.2107210313156526,0.2520437801417376,0.24665058727616757,0.25276921281366255,0.24853641976843235,0.3817734003502047,0.3817734003502047,0.3817734003502047,0.3817734003502047
9,-0.11626474270764317,24,224,324,0.2744368457017603,0.25214598559913776,0.24701809055297236,0.2513330849849596,0.24950283886293093,0.3711777610648237,0.3711777610648237,0.3711777610648237,0.3711777610648237
10,-0.012355615668055904,26,249,357,0.3011050927839216,0.25111302048927153,0.24776438972133544,0.25220229919995407,0.2489202905894376,0.38672173738886156,0.38672173738886156,0.38672173738886156,0.38672173738886156
11,-0.0660144359660785,29,269,385,0.34249030894677596,0.24877906551299972,0.24856531243236515,0.2521639533761218,0.2504916686785126,0.39605706631906046,0.39605706631906046,0.39605706631906046,0.39605706631906046
12,-0.17161429567891942,30,291,419,0.3566749439387324,0.24937306478494237,0.24901040635947777,0.2521921870094194,0.24942434184616308,0.3794942415419983,0.3794942415419983,0.3794942415419983,0.3794942415419983
13,-0.0372842870968984,32,311,445,0.3856624808119847,0.24968923813555036,0.24820708020519366,0.2521079986194806,0.24999568303977807,0.39696618781651677,0.39696618781651677,0.39696618781651677,0.39696618781651677
14,-0.1944064392231184,33,335,474,0.40047756659712536,0.24887486213362514,0.2479833477067329,0.252613803816609,0.2505279863430338,0.42868760724836097,0.42868760724836097,0.42868760724836097,0.42868760724836097
