iterations,aggregate_opinions,radicalised_agents,silenced_agents,negated_agents,radicalisation_logodds,layer_interdependences_A,layer_interdependences_B,layer_interdependences_C,layer_interdependences_D,layer_polarisations_A,layer_polarisations_B,layer_polarisations_C,layer_polarisations_D
1,-0.05659151142837035,0,62,47,0.0,0.24674593516748375,0.250740839885072,0.2496954198806881,0.2528178050667555,0.1293892324731295,0.1293892324731295,0.1293892324731295,0.1293892324731295
2,-0.0797676961104505,3,115,90,0.030459207484708546,0.2465083366558618,0.24786996105136933,0.25462114622558185,0.2510005560671873,0.15639941674373742,0.15639941674373742,0.15639941674373742,0.15639941674373742
3,-0.10237449393816743,5,174,129,0.051293294387550536,0.24829326177189634,0.24706538546181173,0.2513722123322329,0.2532691404340603,0.1826322677527104,0.1826322677527104,0.1826322677527104,0.1826322677527104
4,-0.0840692706258481,10,229,167,0.10536051565782631,0.24916892815042896,0.24878944349064042,0.2519790922246401,0.25006253613429413,0.23241575494634145,0.23241575494634145,0.23241575494634145,0.23241575494634145
5,-0.08094154671322228,17,279,202,0.18632957819149346,0.2505486274075507,0.25002552750279483,0.25273808559504773,0.24668775949460947,0.2730004318485618,0.2730004318485618,0.2730004318485618,0.2730004318485618
6,-0.08377577490531637,22,329,237,0.24846135929849963,0.25016520773987916,0.2515697713003834,0.25106294031862963,0.2472020806411061,0.3082882316633541,0.3082882316633541,0.3082882316633541,0.3082882316633541
7,-0.07506771394152237,31,377,267,0.371063681390832,0.2493244798541113,0.2510470650681536,0.2526664178200299,0.24696203725770438,0.3308024415901009,0.3308024415901009,0.3308024415901009,0.3308024415901009
8,-0.08314400959772565,35,425,294,0.4307829160924542,0.24916856479002777,0.2508996588353161,0.25310286020515266,0.24682891616950267,0.34800110937399775,0.34800110937399775,0.34800110937399775,0.34800110937399775
9,-0.031903308595425006,38,471,320,0.4780358009429998,0.24865474952157762,0.25206199952719155,0.2520093079420334,0.24727394300919603,0.37369581372240257,0.37369581372240257,0.37369581372240257,0.37369581372240257
10,-0.06989662417290048,42,517,347,0.5447271754416719,0.24915989360523555,0.25078858644863045,0.253074102784337,0.2469774171617994,0.384421192074042,0.384421192074042,0.384421192074042,0.384421192074042
11,-0.0011934627017308609,44,562,372,0.5798184952529422,0.24957344531015987,0.25108909325994366,0.25252726241628637,0.24681019901360687,0.39811428437600593,0.39811428437600593,0.39811428437600593,0.39811428437600593
12,-0.027394114124350083,44,611,399,0.5798184952529422,0.24948904932127092,0.25119390759143556,0.2500006932880836,0.24931634979920758,0.41167062339308486,0.41167062339308486,0.41167062339308486,0.41167062339308486
13,-0.01744933948370247,45,656,424,0.5978370007556204,0.24952568394393604,0.25258634949670916,0.24933674976981662,0.24855121678953657,0.3953444947064485,0.3953444947064485,0.3953444947064485,0.3953444947064485
14,-0.0039179665157988465,45,698,448,0.5978370007556204,0.24965421263193002,0.25261130036492796,0.24792477277689917,0.24980971422624207,0.3879275661168145,0.3879275661168145,0.3879275661168145,0.3879275661168145
15,0.043929049767524105,46,740,476,0.616186139423817,0.24934799579016942,0.25329043398925977,0.24777811303228894,0.24958345718828026,0.38554836127480174,0.38554836127480174,0.38554836127480174,0.38554836127480174
16,-0.010245695874522412,48,780,498,0.6539264674066639,0.24990169871671875,0.2526340350055166,0.24779301228451028,0.24967125399325263,0.40284170053178503,0.40284170053178503,0.40284170053178503,0.40284170053178503
17,0.020217437498523057,49,819,521,0.6733445532637655,0.2497208595291936,0.2521956922485251,0.24789600429433553,0.2501874439279434,0.42213853389064754,0.42213853389064754,0.42213853389064754,0.42213853389064754
18,-0.03129558149495444,52,856,546,0.7339691750802005,0.2489616183378877,0.2531593718427734,0.24772460501934312,0.2501544047999942,0.41093457767226593,0.41093457767226593,0.41093457767226593,0.41093457767226593
19,0.025750981582402438,53,892,568,0.7550225842780328,0.24919837043808593,0.25294804934314685,0.24623123260989382,0.251622347608869,0.4220319524794508,0.4220319524794508,0.4220319524794508,0.4220319524794508
20,0.05734292986393133,55,922,588,0.7985076962177717,0.24941820619952254,0.25259927076885363,0.24660270703958814,0.25137981599203624,0.4149411022155449,0.4149411022155449,0.4149411022155449,0.4149411022155449
21,0.09608145682895451,55,960,610,0.7985076962177717,0.24913002442046542,0.2521858930214002,0.24744699601958098,0.25123708653855314,0.4432092663599467,0.4432092663599467,0.4432092663599467,0.4432092663599467
22,0.11621332960191907,55,993,635,0.7985076962177717,0.24817496578026382,0.2514357587879896,0.2507398633362567,0.24964941209548933,0.4261973308596217,0.4261973308596217,0.4261973308596217,0.4261973308596217
23,0.12131347507990496,57,1025,658,0.8439700702945289,0.2490998642048184,0.25022535914708427,0.25055199523149374,0.25012278141660094,0.4117171973424753,0.4117171973424753,0.4117171973424753,0.4117171973424753
24,0.12808866967346266,57,1058,680,0.8439700702945289,0.24973594753024056,0.2525829329205466,0.247382950743135,0.2502981688060776,0.4153372674856195,0.4153372674856195,0.4153372674856195,0.4153372674856195
25,0.08455736964762144,58,1092,702,0.867500567704723,0.24959277188851425,0.253030754383988,0.2459953867491313,0.2513810869783694,0.43910937464067484,0.43910937464067484,0.43910937464067484,0.43910937464067484
26,0.02361082172191994,59,1121,720,0.8915981192837834,0.2506074687392257,0.25330676020192633,0.24508905040664053,0.25099672065220563,0.42421117095527267,0.42421117095527267,0.42421117095527267,0.42421117095527267
27,0.06944298625591967,61,1150,738,0.941608539858445,0.2518988658948357,0.2528011166941182,0.24658385043653647,0.24871616697451046,0.41548289508277114,0.41548289508277114,0.41548289508277114,0.41548289508277114
28,0.011941573645409908,62,1182,758,0.9675840262617056,0.2517911593456363,0.2519983927764591,0.2471511419405378,0.24905930593736741,0.41883823775551027,0.41883823775551027,0.41883823775551027,0.41883823775551027
29,0.04580405727207801,62,1214,778,0.9675840262617056,0.25042338519441704,0.25149420573534753,0.24777139324777647,0.25031101582245713,0.4317938289274086,0.4317938289274086,0.4317938289274086,0.4317938289274086
30,0.0034431773612232154,62,1248,798,0.9675840262617056,0.2502546658528385,0.2514877588415585,0.2477499727963183,0.2505076025092866,0.4299328745563572,0.4299328745563572,0.4299328745563572,0.4299328745563572
31,0.014360355868293428,63,1280,818,0.9942522733438669,0.25072060766682697,0.252862527228043,0.24671806782684838,0.24969879727828087,0.4353373837107465,0.4353373837107465,0.4353373837107465,0.4353373837107465
32,-0.028474469362767506,63,1310,837,0.9942522733438669,0.25005641629213304,0.2524094310443884,0.24592211320182472,0.2516120394616527,0.46086462754603125,0.46086462754603125,0.46086462754603125,0.46086462754603125
33,-0.006210629126289082,63,1342,857,0.9942522733438669,0.24986804371956,0.25290375064037457,0.24636307279204672,0.2508651328480189,0.41122388620337297,0.41122388620337297,0.41122388620337297,0.41122388620337297
34,-0.04573136024877111,63,1371,878,0.9942522733438669,0.25011613649065384,0.25317865550446034,0.2467068580369613,0.2499983499679231,0.4027355005194609,0.4027355005194609,0.4027355005194609,0.4027355005194609
35,-0.052146319941019585,64,1400,899,1.0216512475319814,0.24920105417507374,0.2550172667790312,0.24626193960869475,0.24951973943719788,0.428502044431451,0.428502044431451,0.428502044431451,0.428502044431451
36,-0.035561226212715374,64,1428,918,1.0216512475319814,0.24912700823955503,0.25328949813994833,0.24715196363657155,0.2504315299839256,0.4257797012109092,0.4257797012109092,0.4257797012109092,0.4257797012109092
37,-0.010984306652075537,67,1451,939,1.1086626245216114,0.24966431973152867,0.25394674229178515,0.24702295869988147,0.2493659792768064,0.4350742318255192,0.4350742318255192,0.4350742318255192,0.4350742318255192
38,0.03175328261156642,67,1474,955,1.1086626245216114,0.2487631277031518,0.2528363682543036,0.24810101645891441,0.2502994875836288,0.42204094182318797,0.42204094182318797,0.42204094182318797,0.42204094182318797
39,-0.061514704404028814,67,1499,974,1.1086626245216114,0.2483042565860097,0.25241510701068814,0.24801549104607173,0.25126514535722766,0.4106095963347487,0.4106095963347487,0.4106095963347487,0.4106095963347487
40,0.021160406014577342,67,1524,993,1.1086626245216114,0.24839085955285597,0.25186417050496357,0.24918849040832386,0.25055647953385657,0.37377403317895064,0.37377403317895064,0.37377403317895064,0.37377403317895064
41,-0.05605628979355831,68,1549,1015,1.139434283188365,0.24859625311004474,0.2515010650416929,0.24878816968010498,0.2511145121681575,0.3866372893499649,0.3866372893499649,0.3866372893499649,0.3866372893499649
42,-0.03365065398116671,68,1576,1038,1.139434283188365,0.2493985893499019,0.2522427287520869,0.24864279926577829,0.24971588263223082,0.39014497166718365,0.39014497166718365,0.39014497166718365,0.39014497166718365
43,-0.06514833586257882,69,1601,1059,1.1711829815029449,0.25182367012077533,0.2522057746143441,0.24756157173841703,0.24840898352646398,0.3714449421924037,0.3714449421924037,0.3714449421924037,0.3714449421924037
44,-0.0476065201022606,69,1626,1081,1.1711829815029449,0.2507990166919376,0.2521356052719202,0.24903251752744707,0.2480328605086991,0.35231733738656223,0.35231733738656223,0.35231733738656223,0.35231733738656223
45,-0.01734255262144367,70,1648,1100,1.203972804325936,0.24968921248861203,0.252191735623932,0.24924126534226915,0.24887778654518597,0.37480326493650273,0.37480326493650273,0.37480326493650273,0.37480326493650273
46,0.028800784690125862,72,1672,1119,1.2729656758128873,0.25067405386856817,0.25254251305140085,0.24749344770101203,0.2492899853790183,0.38770870549186354,0.38770870549186354,0.38770870549186354,0.38770870549186354
47,0.02830130522633783,72,1697,1140,1.2729656758128873,0.25008557577048224,0.2534123207658539,0.24696691160388082,0.24953519185978495,0.4352582141110388,0.4352582141110388,0.4352582141110388,0.4352582141110388
48,0.021296929850334267,72,1720,1159,1.2729656758128873,0.24974651083428345,0.25277252769142716,0.24652254707434146,0.25095841439994987,0.4262383542300327,0.4262383542300327,0.4262383542300327,0.4262383542300327
49,0.006501202588886666,73,1740,1178,1.3093333199837622,0.24895690802803916,0.2521685469441954,0.2486306989293628,0.25024384609840444,0.39802135793216187,0.39802135793216187,0.39802135793216187,0.39802135793216187
50,-0.05960806574983606,73,1763,1196,1.3093333199837622,0.24977099373117653,0.2518726891909632,0.24869750696355147,0.24965881011430888,0.41119230490592024,0.41119230490592024,0.41119230490592024,0.41119230490592024
51,-0.020277178381780378,73,1789,1213,1.3093333199837622,0.24967627827559866,0.25162419605394615,0.24889971220320598,0.24979981346724997,0.38815692550388753,0.38815692550388753,0.38815692550388753,0.38815692550388753
52,-0.0704204602259914,73,1814,1230,1.3093333199837622,0.2497524782656585,0.2514928797084858,0.24841215615655574,0.25034248586929747,0.37222574697178423,0.37222574697178423,0.37222574697178423,0.37222574697178423
53,-0.03605594276961935,73,1837,1247,1.3093333199837622,0.2494444745371869,0.25063715851934787,0.24934612077577914,0.25057224616769047,0.3465732502311899,0.3465732502311899,0.3465732502311899,0.3465732502311899
54,-0.04942011360656069,73,1858,1264,1.3093333199837622,0.24936757522008612,0.24843792949561402,0.24953281158714785,0.25266168369715125,0.35909568151462246,0.35909568151462246,0.35909568151462246,0.35909568151462246
55,-0.013655320715030261,73,1879,1280,1.3093333199837622,0.24987653889633993,0.2492376922043779,0.25083732772090467,0.25004844117837727,0.35982753801754247,0.35982753801754247,0.35982753801754247,0.35982753801754247
