iterations,aggregate_opinions,radicalised_agents,silenced_agents,negated_agents,radicalisation_logodds,layer_interdependences_A,layer_interdependences_B,layer_interdependences_C,layer_interdependences_D,layer_polarisations_A,layer_polarisations_B,layer_polarisations_C,layer_polarisations_D
1,-0.04268263685425189,5,35,16,0.13353139262452263,0.24237191748370787,0.25141250125589026,0.2514975973197336,0.25471798394066675,0.13460307315561093,0.13460307315561093,0.13460307315561093,0.13460307315561093
2,0.033007736731695506,9,66,28,0.2548922496287901,0.24448625856422437,0.2457024310272312,0.25244097892812867,0.25737033148041566,0.1462196872990115,0.1462196872990115,0.1462196872990115,0.1462196872990115
3,0.062019970004317845,13,93,38,0.39304258810960724,0.2446948712175163,0.24541608945019844,0.2505565438089749,0.25933249552331245,0.20614194757139043,0.20614194757139043,0.20614194757139043,0.20614194757139043
4,0.16115960160510537,13,120,47,0.39304258810960724,0.24887620249267522,0.243869242295198,0.2495419192529303,0.2577126359591978,0.23477101839118913,0.23477101839118913,0.23477101839118913,0.23477101839118913
5,0.16437093182573334,14,146,54,0.4307829160924542,0.24731214256351447,0.24325867769859316,0.254537522839755,0.25489165689813753,0.28862960224680323,0.28862960224680323,0.28862960224680323,0.28862960224680323
6,0.18232905187875806,16,170,61,0.5108256237659907,0.24593760553162441,0.2471921691858258,0.25112809817873166,0.2557421271038189,0.3645052584525872,0.3645052584525872,0.3645052584525872,0.3645052584525872
7,0.13059885270417768,18,192,68,0.5978370007556204,0.24739309618117963,0.2464156806822718,0.2519363122164385,0.25425491092011127,0.36834867786780046,0.36834867786780046,0.36834867786780046,0.36834867786780046
8,0.17198947533906242,19,213,76,0.6443570163905132,0.24385090789987973,0.2524152766845529,0.24953427380659024,0.25419954160897806,0.35292681277630816,0.35292681277630816,0.35292681277630816,0.35292681277630816
9,0.08934733778412976,19,234,84,0.6443570163905132,0.2404173122845935,0.24999013298218745,0.24974376211789895,0.25984879261531946,0.31719800964816347,0.31719800964816347,0.31719800964816347,0.31719800964816347
10,0.16381416687779632,21,253,91,0.7444404749474959,0.24371148940534604,0.24198787237354685,0.25344849630828925,0.2608521419128194,0.32821504838001403,0.32821504838001403,0.32821504838001403,0.32821504838001403
11,0.10565348905409473,23,270,97,0.8556661100577202,0.24818604883733827,0.24550335543002028,0.2521997599922584,0.2541108357403847,0.2892091329883011,0.2892091329883011,0.2892091329883011,0.2892091329883011
12,0.040345781369014636,25,285,102,0.9808292530117263,0.2530109944602963,0.24466653110077438,0.24856130722650863,0.2537611672124203,0.30766189390649334,0.30766189390649334,0.30766189390649334,0.30766189390649334
13,-0.00888077482202349,25,300,107,0.9808292530117263,0.2484402351130768,0.2529052292891901,0.2514785659191759,0.24717596967855657,0.32883814979425835,0.32883814979425835,0.32883814979425835,0.32883814979425835
14,-0.09980238593363154,25,315,112,0.9808292530117263,0.2448103174087881,0.261002387673589,0.24880658216865711,0.2453807127489661,0.33894551100021403,0.33894551100021403,0.33894551100021403,0.33894551100021403
15,-0.030971804662505365,26,329,116,1.0498221244986778,0.2387514941577556,0.26120321758576204,0.25429664873333424,0.2457486395231469,0.3350824174076868,0.3350824174076868,0.3350824174076868,0.3350824174076868
16,-0.06107874141830384,26,343,121,1.0498221244986778,0.23844060866570543,0.2631899962219746,0.2538542338375454,0.24451516127477446,0.3353392359780771,0.3353392359780771,0.3353392359780771,0.3353392359780771
17,-0.014996060683086277,26,357,125,1.0498221244986778,0.2431647633294646,0.2571448933568055,0.25337689881177705,0.24631344450195394,0.36055219024973884,0.36055219024973884,0.36055219024973884,0.36055219024973884
18,0.0007273800230571476,26,371,129,1.0498221244986778,0.24251121867478354,0.25738334666609747,0.25399872971739657,0.24610670494172118,0.36984568654144284,0.36984568654144284,0.36984568654144284,0.36984568654144284
19,0.03626419646669984,26,385,134,1.0498221244986778,0.2437565612619309,0.2570046892217675,0.2499701249994413,0.24926862451685938,0.36466965350907415,0.36466965350907415,0.36466965350907415,0.36466965350907415
20,0.04930422711237458,27,398,139,1.1239300966523997,0.24600331844086315,0.2548130560299838,0.24914076334385518,0.2500428621852987,0.35785251687932973,0.35785251687932973,0.35785251687932973,0.35785251687932973
21,0.11909710038271451,28,410,144,1.203972804325936,0.2441431026869501,0.25432963610467324,0.248858664835995,0.2526685963723797,0.36058506616474895,0.36058506616474895,0.36058506616474895,0.36058506616474895
22,0.18283555343256308,28,422,149,1.203972804325936,0.24614784220018773,0.25245446334758315,0.2508120754643022,0.2505856189879253,0.35923839874151225,0.35923839874151225,0.35923839874151225,0.35923839874151225
23,0.20552930234149777,28,434,154,1.203972804325936,0.24407771877325052,0.25415047062904256,0.2500634038281479,0.2517084067695563,0.3838002022437598,0.3838002022437598,0.3838002022437598,0.3838002022437598
24,0.2652604013781712,29,445,158,1.2909841813155658,0.2410744106536525,0.2550531674213934,0.2494493038177227,0.25442311810722956,0.3891267055462699,0.3891267055462699,0.3891267055462699,0.3891267055462699
25,0.2203665048485708,29,456,162,1.2909841813155658,0.24080308253576133,0.25802852147602107,0.2488150770094522,0.25235331897876506,0.3956387475656174,0.3956387475656174,0.3956387475656174,0.3956387475656174
