iterations,aggregate_opinions,radicalised_agents,silenced_agents,negated_agents,radicalisation_logodds,layer_interdependences_family,layer_interdependences_friends,layer_interdependences_neighbours,layer_interdependences_religion,layer_interdependences_cultural,layer_polarisations_family,layer_polarisations_friends,layer_polarisations_neighbours,layer_polarisations_religion,layer_polarisations_cultural
1,0.22502366078445257,4,17,20,0.08338160893905106,0.20483942118002518,0.19569532309176493,0.1837344594873533,0.19808801235687862,0.21764278388397834,0.08623352491408212,0.08623352491408212,0.08623352491408212,0.08623352491408212,0.08623352491408212
2,-0.012497560265657202,5,32,42,0.10536051565782631,0.20417050930065642,0.20195577139991683,0.2041224301442838,0.18709620731697188,0.20265508183817343,0.16345528532826448,0.16345528532826448,0.16345528532826448,0.16345528532826448,0.16345528532826448
3,0.25238271058794537,6,50,60,0.12783337150988489,0.20293122288413634,0.205802672582976,0.2081171264301025,0.19934964918275447,0.18379932892002737,0.1875628943467021,0.1875628943467021,0.1875628943467021,0.1875628943467021,0.1875628943467021
4,0.12603644550459328,7,69,78,0.15082288973458363,0.1874090787979724,0.20540293063187176,0.22964756416275817,0.2066470702483301,0.17089335615906745,0.16557392917223576,0.16557392917223576,0.16557392917223576,0.16557392917223576,0.16557392917223576
5,0.12500073364717898,7,85,95,0.15082288973458363,0.1962708312264338,0.19905579875096716,0.21786902734239222,0.19549554618670903,0.19130879649349988,0.21027237558346515,0.21027237558346515,0.21027237558346515,0.21027237558346515,0.21027237558346515
6,0.18305125324902097,7,104,113,0.15082288973458363,0.19693620455490027,0.1885672382243108,0.21606780978677245,0.19722296888470575,0.20120577854930793,0.2101457139681107,0.2101457139681107,0.2101457139681107,0.2101457139681107,0.2101457139681107
7,0.16755785137583992,10,125,132,0.22314355131420976,0.1988571584324924,0.19221324583609337,0.21072836262706088,0.1916787576603399,0.20652247544401245,0.22113997594279844,0.22113997594279844,0.22113997594279844,0.22113997594279844,0.22113997594279844
8,0.11551794816894112,12,147,149,0.2744368457017603,0.20191906010419775,0.18679449382730676,0.206295414999755,0.19228794760457257,0.2127030834641687,0.2225256757059595,0.2225256757059595,0.2225256757059595,0.2225256757059595,0.2225256757059595
9,0.25213207520623304,13,166,165,0.3011050927839216,0.19503758709782706,0.19578255010620518,0.20595177322895641,0.19178819514877332,0.21143989441824174,0.23249330919827424,0.23249330919827424,0.23249330919827424,0.23249330919827424,0.23249330919827424
10,0.15357116540445118,15,183,178,0.3566749439387324,0.1918803416569207,0.19423898212813473,0.22659846367652794,0.19320441205882125,0.1940778004795959,0.23768623603321323,0.23768623603321323,0.23768623603321323,0.23768623603321323,0.23768623603321323
11,0.3125920014576802,15,202,191,0.3566749439387324,0.19274544347801956,0.19848608082977037,0.21297887137652846,0.19677135392736642,0.1990182503883163,0.282676020165712,0.282676020165712,0.282676020165712,0.282676020165712,0.282676020165712
12,0.1434116229634098,15,218,203,0.3566749439387324,0.19302000722305346,0.19282651866198477,0.22014749731918104,0.20631223072414295,0.1876937460716375,0.2501729556864888,0.2501729556864888,0.2501729556864888,0.2501729556864888,0.2501729556864888
13,0.26894617837979296,17,233,218,0.4155154439616659,0.19305272041352756,0.19880564552143767,0.2090472325164272,0.19453073830624237,0.20456366324236425,0.30711751161598133,0.30711751161598133,0.30711751161598133,0.30711751161598133,0.30711751161598133
14,0.13890602455063045,17,251,231,0.4155154439616659,0.19146386731432505,0.1940318967857204,0.2169173198232104,0.20777140849786713,0.18981550757887686,0.24382772273792258,0.24382772273792258,0.24382772273792258,0.24382772273792258,0.24382772273792258
15,0.31616106407701894,17,270,245,0.4155154439616659,0.19735252972140074,0.20303989106428075,0.20286265645601523,0.20161995946438097,0.1951249632939213,0.27618720097212723,0.27618720097212723,0.27618720097212723,0.27618720097212723,0.27618720097212723
16,0.11030590898753882,17,287,259,0.4155154439616659,0.19208651202671204,0.1933591542495773,0.2138745989713127,0.2004611631694793,0.20021857158292258,0.25668199802453845,0.25668199802453845,0.25668199802453845,0.25668199802453845,0.25668199802453845
17,0.22136364970177833,18,306,272,0.44628710262841953,0.18762212298175807,0.18726998783315296,0.212874224284307,0.219073553576405,0.1931601113243766,0.25883524961643495,0.25883524961643495,0.25883524961643495,0.25883524961643495,0.25883524961643495
18,0.09823333308685216,19,325,284,0.4780358009429998,0.18599302791283115,0.1958127330372017,0.21462300408538093,0.20697267101516742,0.1965985639494206,0.2444295239959743,0.2444295239959743,0.2444295239959743,0.2444295239959743,0.2444295239959743
19,0.1871929928230756,20,344,298,0.5108256237659907,0.1896309241804789,0.18611568281449395,0.21708108010808677,0.1873014693984418,0.21987084349850256,0.30067470067607477,0.30067470067607477,0.30067470067607477,0.30067470067607477,0.30067470067607477
20,0.06272461570060775,20,360,311,0.5108256237659907,0.1895099679836065,0.19306408815906984,0.20393824264752508,0.21146671663758262,0.20202098457221704,0.22369633805700653,0.22369633805700653,0.22369633805700653,0.22369633805700653,0.22369633805700653
21,0.12133549863558281,20,378,325,0.5108256237659907,0.1933921091905348,0.18522190429139243,0.21934975125644962,0.19960546310526597,0.20243077215635516,0.2609728937643227,0.2609728937643227,0.2609728937643227,0.2609728937643227,0.2609728937643227
22,0.1018366348336007,20,395,338,0.5108256237659907,0.19360172115461985,0.18908937720265917,0.21722935822747,0.20160720940254023,0.19847233401271228,0.29573746734995054,0.29573746734995054,0.29573746734995054,0.29573746734995054,0.29573746734995054
23,0.1179387216077488,21,413,352,0.5447271754416719,0.1937472484074731,0.19218974025258956,0.2136093283500978,0.1992091138517727,0.20124456913806782,0.29809338977276006,0.29809338977276006,0.29809338977276006,0.29809338977276006,0.29809338977276006
24,0.07410232315205574,22,431,365,0.5798184952529422,0.19036251935621262,0.19882226220441854,0.21415880172790078,0.2033664600569549,0.1932899566545134,0.3245012814342285,0.3245012814342285,0.3245012814342285,0.3245012814342285,0.3245012814342285
25,0.09984095411004555,23,447,379,0.616186139423817,0.195574003760484,0.192905635064553,0.2151731034411939,0.19899524162605733,0.19735201610771397,0.333218685567977,0.333218685567977,0.333218685567977,0.333218685567977,0.333218685567977
26,0.10033731487709721,26,466,392,0.7339691750802005,0.19936364610769247,0.18741533332234933,0.21838526320429763,0.19169274836783978,0.2031430089978242,0.40399885666700724,0.40399885666700724,0.40399885666700724,0.40399885666700724,0.40399885666700724
27,0.14284901050864732,26,482,404,0.7339691750802005,0.19346985811386766,0.1968221473186349,0.21100792682872893,0.1949666962283289,0.20373337151043988,0.3708908022640065,0.3708908022640065,0.3708908022640065,0.3708908022640065,0.3708908022640065
28,0.11835193168554642,26,498,415,0.7339691750802005,0.193735827368811,0.1912014323616166,0.21264164879746394,0.19879394817974194,0.20362714329236517,0.3908342842035861,0.3908342842035861,0.3908342842035861,0.3908342842035861,0.3908342842035861
29,0.19017803649026116,27,513,427,0.7765287894989964,0.19291769149378687,0.188855738216748,0.21384295075938173,0.19824391705132005,0.20613970247876542,0.3585149069263542,0.3585149069263542,0.3585149069263542,0.3585149069263542,0.3585149069263542
30,0.10192386841391216,27,528,438,0.7765287894989964,0.18998457559401977,0.1856624557509088,0.21167787664514162,0.19864268470563382,0.21403240730429418,0.31934006454910363,0.31934006454910363,0.31934006454910363,0.31934006454910363,0.31934006454910363
31,0.17032781158386207,28,544,450,0.8209805520698303,0.19048321855902856,0.18452668589539944,0.21742783239861074,0.2051947524550869,0.20236751069187545,0.3343791358195642,0.3343791358195642,0.3343791358195642,0.3343791358195642,0.3343791358195642
32,0.15781476674330971,29,558,461,0.867500567704723,0.19001567476927364,0.18580052377736314,0.2128711926165178,0.202997764011278,0.208314844825564,0.3250303425413545,0.3250303425413545,0.3250303425413545,0.3250303425413545,0.3250303425413545
33,0.16269450803627414,30,572,472,0.916290731874155,0.19424832143892481,0.18813030136317577,0.2119529133945868,0.2013005895926632,0.20436787421064845,0.31254863817956496,0.31254863817956496,0.31254863817956496,0.31254863817956496,0.31254863817956496
34,0.12648419501174582,30,586,486,0.916290731874155,0.19384715972658437,0.18647753133632997,0.21660562882001616,0.1995982802555736,0.20347139986149546,0.3435106864523328,0.3435106864523328,0.3435106864523328,0.3435106864523328,0.3435106864523328
35,0.15724799487450863,30,600,498,0.916290731874155,0.197398639547851,0.19337056842803424,0.21089879111749893,0.19809215625119236,0.20023984465542355,0.3714106482326906,0.3714106482326906,0.3714106482326906,0.3714106482326906,0.3714106482326906
36,0.10140136760882466,30,614,512,0.916290731874155,0.19336748985955926,0.19174329943874896,0.2131825821288413,0.20217043119951988,0.19953619737332656,0.3338116910122493,0.3338116910122493,0.3338116910122493,0.3338116910122493,0.3338116910122493
