iterations,aggregate_opinions,radicalised_agents,silenced_agents,negated_agents,radicalisation_logodds,layer_interdependences_A,layer_interdependences_B,layer_interdependences_C,layer_interdependences_D,layer_interdependences_E,layer_interdependences_F,layer_polarisations_A,layer_polarisations_B,layer_polarisations_C,layer_polarisations_D,layer_polarisations_E,layer_polarisations_F
1,-0.09198461490381797,4,17,9,0.10536051565782631,0.17995027992054516,0.1648403122699058,0.15755474909086528,0.16987508533806586,0.16460771223434661,0.16317186114627485,0.12347666322996827,0.12347666322996827,0.12347666322996827,0.12347666322996827,0.12347666322996827,0.12347666322996827
2,-0.05294468783684344,7,34,18,0.19237189264745608,0.1837354456259709,0.16555197601271668,0.1572896030231145,0.16936888660390192,0.16715711030515365,0.15689697842914394,0.24142371650215788,0.24142371650215788,0.24142371650215788,0.24142371650215788,0.24142371650215788,0.24142371650215788
3,-0.10223311886767142,8,53,28,0.22314355131420976,0.16828461444691514,0.16507779721851815,0.1690022271651382,0.1679279269132657,0.16785099001727494,0.16185644423889062,0.18990978837608571,0.18990978837608571,0.18990978837608571,0.18990978837608571,0.18990978837608571,0.18990978837608571
4,-0.15052633165200685,13,67,33,0.39304258810960724,0.16816912343112328,0.16509159237529047,0.16261303976047534,0.17065993461928894,0.16886339376818957,0.16460291604563534,0.234653679483344,0.234653679483344,0.234653679483344,0.234653679483344,0.234653679483344,0.234653679483344
5,-0.13371061417999208,15,81,36,0.4700036292457355,0.1697505630055151,0.16390197273307955,0.16491487155197807,0.17050678402352692,0.1635848391768954,0.16734096950900657,0.2319336391247927,0.2319336391247927,0.2319336391247927,0.2319336391247927,0.2319336391247927,0.2319336391247927
6,-0.0522794815923862,16,95,40,0.5108256237659907,0.17368751413198233,0.16225827893971168,0.16959140592098923,0.1671042156486486,0.16475194088084213,0.16260664447782544,0.24343333001079806,0.24343333001079806,0.24343333001079806,0.24343333001079806,0.24343333001079806,0.24343333001079806
7,-0.09801583060925292,16,111,45,0.5108256237659907,0.17219352819070938,0.16109339101313347,0.16405935518122106,0.1688028428702435,0.16765154738520666,0.16619933535948755,0.2713627428932346,0.2713627428932346,0.2713627428932346,0.2713627428932346,0.2713627428932346,0.2713627428932346
8,-0.1760449568076088,17,127,47,0.5533852381847867,0.1735112148812791,0.15972438850173198,0.16869637799513865,0.1669524078105571,0.16916500190723166,0.16195060890406218,0.3412250009561846,0.3412250009561846,0.3412250009561846,0.3412250009561846,0.3412250009561846,0.3412250009561846
9,-0.12597125739721915,18,142,50,0.5978370007556204,0.1732477251246272,0.15974677307172483,0.16963746096310942,0.1663878251754288,0.16672859645915117,0.16425161920595657,0.2761145813171867,0.2761145813171867,0.2761145813171867,0.2761145813171867,0.2761145813171867,0.2761145813171867
10,-0.036690735699401664,18,158,53,0.5978370007556204,0.17253860286564124,0.16156259438253512,0.16591428238765304,0.16825707136695234,0.16469114012453984,0.16703630887267987,0.266967505446882,0.266967505446882,0.266967505446882,0.266967505446882,0.266967505446882,0.266967505446882
