iterations,aggregate_opinions,radicalised_agents,silenced_agents,negated_agents,radicalisation_logodds,layer_interdependences_A,layer_interdependences_B,layer_interdependences_C,layer_interdependences_D,layer_interdependences_E,layer_interdependences_F,layer_polarisations_A,layer_polarisations_B,layer_polarisations_C,layer_polarisations_D,layer_polarisations_E,layer_polarisations_F
1,-0.04880691662222826,4,17,10,0.10536051565782631,0.17995027992054516,0.1648403122699058,0.1575547490908653,0.16987508533806586,0.16460771223434661,0.16317186114627485,0.12347666322996827,0.12347666322996827,0.12347666322996827,0.12347666322996827,0.12347666322996827,0.12347666322996827
2,-0.0881797926308316,5,32,22,0.13353139262452263,0.18072691544828387,0.16560158125525976,0.15858253115191018,0.16420524914337614,0.1703245832751785,0.16055913972599534,0.17278681075341526,0.17278681075341526,0.17278681075341526,0.17278681075341526,0.17278681075341526,0.17278681075341526
3,-0.005667542618529403,6,47,34,0.1625189294977749,0.17559623967814353,0.16750088753708808,0.1618698659205868,0.16460233875354188,0.17138730916432177,0.1590433589463186,0.17564919820070973,0.17564919820070973,0.17564919820070973,0.17564919820070973,0.17564919820070973,0.17564919820070973
4,-0.06465249807006315,6,61,46,0.1625189294977749,0.17371685257542163,0.17040789654588037,0.15663591483631048,0.16777009757834888,0.17240999479537306,0.15905924366866642,0.18286765993319468,0.18286765993319468,0.18286765993319468,0.18286765993319468,0.18286765993319468,0.18286765993319468
5,-0.03944906301439567,7,80,56,0.19237189264745608,0.16743383917469593,0.16691952479215866,0.16089107334634864,0.16679791698012172,0.17462926516519797,0.163328380541476,0.22067161978866345,0.22067161978866345,0.22067161978866345,0.22067161978866345,0.22067161978866345,0.22067161978866345
6,-0.02949415191535454,9,98,67,0.2548922496287901,0.16577545311051994,0.1669835286366576,0.16040231600168686,0.16873171369653922,0.17409809511134205,0.1640088934432527,0.28572931891702374,0.28572931891702374,0.28572931891702374,0.28572931891702374,0.28572931891702374,0.28572931891702374
7,0.10911567388368895,10,119,78,0.2876820724517809,0.16512138230630802,0.16726332509891625,0.1618478493729843,0.16658063060049996,0.17345982481306688,0.16572698780822215,0.31232633483166555,0.31232633483166555,0.31232633483166555,0.31232633483166555,0.31232633483166555,0.31232633483166555
8,0.06509583246541155,11,141,87,0.3215836241274623,0.1656604908206228,0.16601381450417896,0.1646362840200758,0.16502031572545983,0.17214079667823762,0.16652829825142446,0.38394122433345385,0.38394122433345385,0.38394122433345385,0.38394122433345385,0.38394122433345385,0.38394122433345385
9,0.2053697095789812,11,164,96,0.3215836241274623,0.16691055728377296,0.1680111055193991,0.1650582099749997,0.1645630087437161,0.1692663533806007,0.16619076509751057,0.39887853218040514,0.39887853218040514,0.39887853218040514,0.39887853218040514,0.39887853218040514,0.39887853218040514
10,0.11799518099493986,12,186,107,0.3566749439387324,0.16714241545815306,0.1682016677216256,0.16511192095440386,0.16514891491004707,0.17032306206807532,0.16407201888769485,0.3810547752791405,0.3810547752791405,0.3810547752791405,0.3810547752791405,0.3810547752791405,0.3810547752791405
