iterations,aggregate_opinions,radicalised_agents,silenced_agents,negated_agents,radicalisation_logodds,layer_interdependences_A,layer_interdependences_B,layer_interdependences_C,layer_interdependences_D,layer_interdependences_E,layer_interdependences_F,layer_polarisations_A,layer_polarisations_B,layer_polarisations_C,layer_polarisations_D,layer_polarisations_E,layer_polarisations_F
1,0.008192761853083775,4,16,12,0.10536051565782631,0.17995027992054513,0.1648403122699058,0.15755474909086525,0.1698750853380659,0.1646077122343466,0.1631718611462749,0.12347666322996827,0.12347666322996827,0.12347666322996827,0.12347666322996827,0.12347666322996827,0.12347666322996827
2,-0.059128671850731465,8,35,19,0.22314355131420976,0.17767351214806135,0.16525610694743129,0.16845187591064995,0.1685159437258077,0.15977945620991435,0.16032310505814135,0.18774259836613041,0.18774259836613041,0.18774259836613041,0.18774259836613041,0.18774259836613041,0.18774259836613041
3,-0.024140362973866993,9,59,28,0.2548922496287901,0.1726148799846497,0.1637428581927769,0.16316611767610337,0.1657729813964952,0.16034219158733334,0.17436097116264235,0.2799591469489409,0.2799591469489409,0.2799591469489409,0.2799591469489409,0.2799591469489409,0.2799591469489409
4,-0.003600502275893931,10,81,34,0.2876820724517809,0.16464393797870333,0.16624830887935688,0.16682492562358908,0.1645482693895398,0.1644335971472648,0.17330096098154757,0.31413056604739775,0.31413056604739775,0.31413056604739775,0.31413056604739775,0.31413056604739775,0.31413056604739775
5,0.03420459381368233,11,103,40,0.3215836241274623,0.1736113804370589,0.1633753720261591,0.16781317785490465,0.16384868631132674,0.16245586562303357,0.16889551774751768,0.272355768428297,0.272355768428297,0.272355768428297,0.272355768428297,0.272355768428297,0.272355768428297
6,-0.0028437664635846127,12,127,45,0.3566749439387324,0.167369361218692,0.1672471578515317,0.16779757701834477,0.16197000700469888,0.16635851601284316,0.1692573808938898,0.2842024210928124,0.2842024210928124,0.2842024210928124,0.2842024210928124,0.2842024210928124,0.2842024210928124
7,-0.0672464796727199,16,148,50,0.5108256237659907,0.1669001890731352,0.16827671541730707,0.1661954415638654,0.16065962313152987,0.17049007135341154,0.1674779594607491,0.3339864072020494,0.3339864072020494,0.3339864072020494,0.3339864072020494,0.3339864072020494,0.3339864072020494
8,-0.042120384741769906,18,169,56,0.5978370007556204,0.1689787383550743,0.16274342793804839,0.17198481051538594,0.15896078437543987,0.17090400614519827,0.16642823267085358,0.3543287765399352,0.3543287765399352,0.3543287765399352,0.3543287765399352,0.3543287765399352,0.3543287765399352
9,-0.1254283645127828,19,187,61,0.6443570163905132,0.1673848369872596,0.16505992360073216,0.1683698878721824,0.1626046192489376,0.17070064358433623,0.16588008870655543,0.3143755069277316,0.3143755069277316,0.3143755069277316,0.3143755069277316,0.3143755069277316,0.3143755069277316
10,-0.04693428632985049,19,206,67,0.6443570163905132,0.1737521716843446,0.16654375632203028,0.17013586133164152,0.1641514738167347,0.16454013903278478,0.1608765978124638,0.2782218328721156,0.2782218328721156,0.2782218328721156,0.2782218328721156,0.2782218328721156,0.2782218328721156
11,-0.052056648520246426,19,225,71,0.6443570163905132,0.1627531139015528,0.16314808420014265,0.16787728213224276,0.17074323788978557,0.16849004182734706,0.1669882400489289,0.2813205390557995,0.2813205390557995,0.2813205390557995,0.2813205390557995,0.2813205390557995,0.2813205390557995
12,-0.009144179400570062,22,241,77,0.7985076962177717,0.17142483438069556,0.16137651079868515,0.17188039956825413,0.1677658704942314,0.16470158745711136,0.16285079730102137,0.2541446339300751,0.2541446339300751,0.2541446339300751,0.2541446339300751,0.2541446339300751,0.2541446339300751
13,-0.08420934590693867,23,255,83,0.8556661100577202,0.16853940100978027,0.15950245206971145,0.1718526541209645,0.1695063354859878,0.1629079019428627,0.1676912553706948,0.2571905930043398,0.2571905930043398,0.2571905930043398,0.2571905930043398,0.2571905930043398,0.2571905930043398
14,-0.040157610272989405,24,269,89,0.916290731874155,0.17037699643172402,0.1670149597185064,0.16372985446992114,0.17378602643897387,0.16068460905132786,0.1644075538895456,0.2589654311344787,0.2589654311344787,0.2589654311344787,0.2589654311344787,0.2589654311344787,0.2589654311344787
15,-0.0891756261800038,25,284,94,0.9808292530117263,0.169228152198514,0.16988408060814195,0.16156184853875455,0.17245623760548198,0.164425975143143,0.16244370590596274,0.3354773070874302,0.3354773070874302,0.3354773070874302,0.3354773070874302,0.3354773070874302,0.3354773070874302
16,-0.09638458839325063,25,296,97,0.9808292530117263,0.1650926568943298,0.16718897337834018,0.16761303338343841,0.17307115388746716,0.16353647566733034,0.16349770678909295,0.30007392067654143,0.30007392067654143,0.30007392067654143,0.30007392067654143,0.30007392067654143,0.30007392067654143
17,-0.05208022491870913,25,310,101,0.9808292530117263,0.16829436280980883,0.1684231043554378,0.16885893010652894,0.16914120918600284,0.16219861911218658,0.1630837744300355,0.32428892406376014,0.32428892406376014,0.32428892406376014,0.32428892406376014,0.32428892406376014,0.32428892406376014
18,-0.06597124782934126,25,322,105,0.9808292530117263,0.17154605935177322,0.16383260289932325,0.16799892221080795,0.17112141617671012,0.1670848720406019,0.15841612732078036,0.2859863232277254,0.2859863232277254,0.2859863232277254,0.2859863232277254,0.2859863232277254,0.2859863232277254
19,-0.013929505053010601,25,334,109,0.9808292530117263,0.16620683214447565,0.1649522533570549,0.1719382731969454,0.167222133129115,0.16929453045341383,0.16038597771899443,0.3222509989256101,0.3222509989256101,0.3222509989256101,0.3222509989256101,0.3222509989256101,0.3222509989256101
20,-0.10191422905231096,25,347,113,0.9808292530117263,0.1618475657512872,0.16941400154824393,0.17189680055276654,0.1645972188464183,0.17020419551334318,0.16204021778794075,0.323069824817616,0.323069824817616,0.323069824817616,0.323069824817616,0.323069824817616,0.323069824817616
21,-0.09294593805070292,25,358,116,0.9808292530117263,0.16236084121053124,0.16664671925449404,0.17230840804949385,0.16417110012436556,0.17002923829725106,0.16448369306386332,0.29008068545050847,0.29008068545050847,0.29008068545050847,0.29008068545050847,0.29008068545050847,0.29008068545050847
22,0.0850948428570558,25,370,120,0.9808292530117263,0.16064974417657768,0.16833729206164472,0.17566738574311658,0.16354263209270037,0.16987339783596012,0.16192954809000099,0.2810145495560753,0.2810145495560753,0.2810145495560753,0.2810145495560753,0.2810145495560753,0.2810145495560753
23,0.05362324302456069,25,384,123,0.9808292530117263,0.16188318041927818,0.17127572968884947,0.17544633240658203,0.16273293792958776,0.16561544112889137,0.1630463784268114,0.31384110447318847,0.31384110447318847,0.31384110447318847,0.31384110447318847,0.31384110447318847,0.31384110447318847
24,0.14179671493729956,26,396,126,1.0498221244986778,0.16596122836486313,0.1704397128421977,0.1713224403278553,0.16245070125152447,0.16340155771569134,0.16642435949786893,0.2993124221467081,0.2993124221467081,0.2993124221467081,0.2993124221467081,0.2993124221467081,0.2993124221467081
25,0.029377092149740335,26,407,131,1.0498221244986778,0.16335078863267632,0.1699914997078846,0.1739286773796702,0.163273633754797,0.16147892631860172,0.16797647420636924,0.28339305631425493,0.28339305631425493,0.28339305631425493,0.28339305631425493,0.28339305631425493,0.28339305631425493
26,0.09341343113229808,26,418,136,1.0498221244986778,0.1641527946804693,0.16800867054973212,0.17131242927033866,0.16931198425546656,0.1613675509856867,0.16584657025830585,0.28708713079272097,0.28708713079272097,0.28708713079272097,0.28708713079272097,0.28708713079272097,0.28708713079272097
27,0.10847200072644751,26,428,140,1.0498221244986778,0.16865785350299667,0.16590996721472923,0.16786023016092577,0.1701548075197053,0.15893622864460108,0.16848091295704398,0.3222370410996553,0.3222370410996553,0.3222370410996553,0.3222370410996553,0.3222370410996553,0.3222370410996553
28,0.19439301164008532,26,438,145,1.0498221244986778,0.1671094764761555,0.165671359439275,0.16516636569034923,0.17212529845467797,0.16142387727307633,0.16850362266646698,0.25809650434264486,0.25809650434264486,0.25809650434264486,0.25809650434264486,0.25809650434264486,0.25809650434264486
29,0.1157985373712245,26,450,149,1.0498221244986778,0.15899894553962035,0.1677599045220063,0.1633531460965788,0.17126035787834232,0.163467855876464,0.17515979008698582,0.27407324920660864,0.27407324920660864,0.27407324920660864,0.27407324920660864,0.27407324920660864,0.27407324920660864
30,0.16887462440617282,27,460,154,1.1239300966523997,0.16391106050442822,0.16723861905570098,0.16467898201658082,0.17061487766376196,0.1612673465017404,0.172289114257786,0.28021116703500026,0.28021116703500026,0.28021116703500026,0.28021116703500026,0.28021116703500026,0.28021116703500026
31,0.11447580727574677,27,471,159,1.1239300966523997,0.1564500008568023,0.17219412880367627,0.1669167329826,0.1661034768623138,0.16588940420945064,0.1724462562851558,0.31455945160378423,0.31455945160378423,0.31455945160378423,0.31455945160378423,0.31455945160378423,0.31455945160378423
32,0.12829477596477917,27,482,164,1.1239300966523997,0.15412115057377046,0.17053310222613477,0.1696129978876173,0.1680155868869019,0.16675062061538554,0.1709665418101897,0.2893158832791307,0.2893158832791307,0.2893158832791307,0.2893158832791307,0.2893158832791307,0.2893158832791307
33,0.13046567597447684,27,493,169,1.1239300966523997,0.15762854339304547,0.17036367131205193,0.17014599165764016,0.1648619792821784,0.16822590281087949,0.1687739115442023,0.2801088905265646,0.2801088905265646,0.2801088905265646,0.2801088905265646,0.2801088905265646,0.2801088905265646
34,0.11112564766009554,27,503,173,1.1239300966523997,0.15508428343301478,0.17555288248203885,0.16366936435840568,0.16527276333464502,0.17118949242816967,0.16923121396372393,0.2256103129702455,0.2256103129702455,0.2256103129702455,0.2256103129702455,0.2256103129702455,0.2256103129702455
35,0.04681570275044385,27,512,177,1.1239300966523997,0.16774070923797202,0.16648228367073128,0.16508957989722473,0.16617961256845165,0.16893872497936818,0.16556908964624964,0.24933321200051378,0.24933321200051378,0.24933321200051378,0.24933321200051378,0.24933321200051378,0.24933321200051378
36,0.011394742587215196,28,521,181,1.203972804325936,0.16395650927221012,0.16388572162758547,0.1685798674421782,0.1654425372228644,0.16840915198039405,0.1697262124547683,0.25632190994950876,0.25632190994950876,0.25632190994950876,0.25632190994950876,0.25632190994950876,0.25632190994950876
37,0.013294913770376091,28,532,186,1.203972804325936,0.16184515666592103,0.16278854575067514,0.16891463233451495,0.1634349630405597,0.1702899582098898,0.17272674399843785,0.24712157497902665,0.24712157497902665,0.24712157497902665,0.24712157497902665,0.24712157497902665,0.24712157497902665
38,-0.10865804353750771,28,540,189,1.203972804325936,0.16911286002613077,0.16794527084154096,0.16551048568749413,0.1641012377744035,0.16386017196474717,0.16946997370568156,0.2917720295674869,0.2917720295674869,0.2917720295674869,0.2917720295674869,0.2917720295674869,0.2917720295674869
39,0.07653245673938047,28,550,194,1.203972804325936,0.1697680833362182,0.16380924583407758,0.16000946404956345,0.16958786073279933,0.16918135597994424,0.16764399006739428,0.30518945626625404,0.30518945626625404,0.30518945626625404,0.30518945626625404,0.30518945626625404,0.30518945626625404
