iterations,aggregate_opinions,radicalised_agents,silenced_agents,negated_agents,radicalisation_logodds,layer_interdependences_A,layer_interdependences_B,layer_interdependences_C,layer_interdependences_D,layer_polarisations_A,layer_polarisations_B,layer_polarisations_C,layer_polarisations_D
1,-0.04475274954777203,0,4,38,0.0,0.24674593516748375,0.250740839885072,0.2496954198806881,0.2528178050667555,0.1293892324731295,0.1293892324731295,0.1293892324731295,0.1293892324731295
2,-0.12040713634870968,2,13,70,0.02020270731751945,0.24721430567057986,0.24823255169173797,0.2502649456355466,0.2542881970021354,0.1664059962071656,0.1664059962071656,0.1664059962071656,0.1664059962071656
3,-0.040532318039033566,6,24,109,0.06187540371808747,0.24597361863767206,0.2519404171449062,0.25088531881607423,0.2512006454013463,0.20857480902687317,0.20857480902687317,0.20857480902687317,0.20857480902687317
4,-0.07012976031518804,10,34,138,0.10536051565782631,0.24657307226076913,0.25326228751912916,0.24989792971155456,0.2502667105085472,0.2611833180042258,0.2611833180042258,0.2611833180042258,0.2611833180042258
5,-0.07623950073429446,11,49,164,0.11653381625595152,0.24961085377969655,0.2517960985422311,0.248539562616166,0.25005348506190733,0.3090709506994249,0.3090709506994249,0.3090709506994249,0.3090709506994249
6,-0.05952674622127216,15,64,195,0.1625189294977749,0.250602445322432,0.25129786231107315,0.2484572279732302,0.249642464393264,0.3565280827207773,0.3565280827207773,0.3565280827207773,0.3565280827207773
7,-0.020938848710457623,17,79,225,0.18632957819149346,0.2500932419876165,0.25234227604772247,0.24734714732792873,0.2502173346367306,0.3824730739176793,0.3824730739176793,0.3824730739176793,0.3824730739176793
8,-0.12708770307413583,23,93,259,0.2613647641344075,0.2514514107216423,0.2506252862164524,0.24734817656716773,0.2505751264947399,0.4348570509528796,0.4348570509528796,0.4348570509528796,0.4348570509528796
9,-0.05071514965664345,26,107,287,0.3011050927839216,0.2507854519139137,0.2522333338842921,0.24802628398106502,0.24895493022072676,0.44815552138005565,0.44815552138005565,0.44815552138005565,0.44815552138005565
10,-0.12715414559023103,28,123,312,0.3285040669720361,0.2503443824217764,0.2514914224346809,0.2495917012751031,0.24857249386844116,0.43928388550425496,0.43928388550425496,0.43928388550425496,0.43928388550425496
11,-0.0176557421728111,29,137,340,0.34249030894677596,0.25090327332932905,0.2505456625939098,0.2504941975717407,0.24805686650501838,0.4798911546752954,0.4798911546752954,0.4798911546752954,0.4798911546752954
12,-0.14103218835754272,32,154,365,0.3856624808119847,0.25086775815320245,0.2500374658379942,0.2503240342882305,0.24877074172057162,0.5152956400784756,0.5152956400784756,0.5152956400784756,0.5152956400784756
13,-0.053866537969134994,33,168,396,0.40047756659712536,0.2512486201143158,0.24895982329778665,0.25048636963004095,0.2493051869578513,0.4847646400390996,0.4847646400390996,0.4847646400390996,0.4847646400390996
14,-0.057509806666410236,35,181,428,0.4307829160924542,0.25083758999311695,0.24813542436529024,0.2510453313885879,0.24998165425300364,0.4598300139495147,0.4598300139495147,0.4598300139495147,0.4598300139495147
15,-0.02574408421257569,37,193,460,0.4620354595965587,0.25135131054242904,0.24877089470378855,0.24988151793135732,0.24999627682242287,0.46843461739905856,0.46843461739905856,0.46843461739905856,0.46843461739905856
