iterations,aggregate_opinions,radicalised_agents,silenced_agents,negated_agents,radicalisation_logodds,layer_interdependences_A,layer_interdependences_B,layer_interdependences_C,layer_interdependences_D,layer_polarisations_A,layer_polarisations_B,layer_polarisations_C,layer_polarisations_D
1,-0.010253988973992673,1,24,18,0.025317807984289876,0.24237191748370787,0.2514125012558902,0.2514975973197336,0.25471798394066675,0.13460307315561093,0.13460307315561093,0.13460307315561093,0.13460307315561093
2,-0.02365524675618891,3,47,33,0.07796154146971185,0.24280235771777625,0.24734582414085077,0.25998487546415033,0.24986694267722287,0.16348101051335454,0.16348101051335454,0.16348101051335454,0.16348101051335454
3,0.001837375049624386,3,75,51,0.07796154146971185,0.24772338798424737,0.24380574066794308,0.26032343273338127,0.2481474386144293,0.23446995795014355,0.23446995795014355,0.23446995795014355,0.23446995795014355
4,-0.0413332625758364,3,103,70,0.07796154146971185,0.24941634496961712,0.24510000168999146,0.2569903887477926,0.24849326459260088,0.2709717815187954,0.2709717815187954,0.2709717815187954,0.2709717815187954
5,-0.13327300485790688,5,128,85,0.13353139262452263,0.2556734730002682,0.24555172872732212,0.24971092625014882,0.24906387202226093,0.28740133931072553,0.28740133931072553,0.28740133931072553,0.28740133931072553
6,-0.10255668195836162,6,152,100,0.1625189294977749,0.25376012360761285,0.24854615448086695,0.24863493278523865,0.24905878912628535,0.3143453576163077,0.3143453576163077,0.3143453576163077,0.3143453576163077
7,-0.14648753977409676,6,176,113,0.1625189294977749,0.25292425409943536,0.24709669671866835,0.24796493287954183,0.25201411630235504,0.3038410868204279,0.3038410868204279,0.3038410868204279,0.3038410868204279
8,-0.0646957057202382,11,196,126,0.3215836241274623,0.24971597673761478,0.2447451974069387,0.25352660604352606,0.25201221981192135,0.3520505000282799,0.3520505000282799,0.3520505000282799,0.3520505000282799
9,-0.1429114990031735,12,220,139,0.3566749439387324,0.25399630383890587,0.24309544812711295,0.2504342109849119,0.25247403704907045,0.37236442359525956,0.37236442359525956,0.37236442359525956,0.37236442359525956
10,-0.07183261037867097,13,244,152,0.39304258810960724,0.25486257808087526,0.24154341860062464,0.2477378624467509,0.2558561408717512,0.3867376730874777,0.3867376730874777,0.3867376730874777,0.3867376730874777
11,-0.06458653314205594,13,267,164,0.39304258810960724,0.2545146881824503,0.24473647631864906,0.2501697924906787,0.2505790430082221,0.3621590437153027,0.3621590437153027,0.3621590437153027,0.3621590437153027
12,-0.1349574278419406,14,289,176,0.4307829160924542,0.2556069045475887,0.24752955297691542,0.2550416222210403,0.24182192025445526,0.3335363049599248,0.3335363049599248,0.3335363049599248,0.3335363049599248
13,-0.26210826786729163,15,311,186,0.4700036292457355,0.2507972437063321,0.24695995611614854,0.250896752480849,0.25134604769667024,0.42187919799638424,0.42187919799638424,0.42187919799638424,0.42187919799638424
14,-0.21695378270278223,16,332,196,0.5108256237659907,0.25012141604609633,0.2458916649109281,0.2509551466428578,0.253031772400119,0.43627148299975627,0.43627148299975627,0.43627148299975627,0.43627148299975627
15,-0.2550467968273923,18,351,204,0.5978370007556204,0.25196199363945926,0.24685924534652298,0.24684587936027502,0.25433288165374096,0.4353046954649743,0.4353046954649743,0.4353046954649743,0.4353046954649743
16,-0.18515554977980006,21,367,211,0.7444404749474959,0.25230345619503936,0.2480265889108701,0.24814783054747766,0.2515221243466157,0.4507697382632462,0.4507697382632462,0.4507697382632462,0.4507697382632462
