iterations,aggregate_opinions,radicalised_agents,silenced_agents,negated_agents,radicalisation_logodds,layer_interdependences_A,layer_interdependences_B,layer_interdependences_C,layer_interdependences_D,layer_polarisations_A,layer_polarisations_B,layer_polarisations_C,layer_polarisations_D
1,0.015091843568453717,0,11,15,0.0,0.2423719174837079,0.25141250125589026,0.2514975973197336,0.25471798394066675,0.13460307315561093,0.13460307315561093,0.13460307315561093,0.13460307315561093
2,0.034884941813257284,2,23,26,0.051293294387550536,0.2404591714987061,0.25235082660227304,0.24914772299736163,0.25804227890165804,0.170967471492681,0.170967471492681,0.170967471492681,0.170967471492681
3,-0.07106491769377092,3,39,42,0.07796154146971185,0.24229939902674016,0.25206137465996614,0.24632973998297167,0.259309486330323,0.2060681184565416,0.2060681184565416,0.2060681184565416,0.2060681184565416
4,0.09750204951483213,4,55,55,0.10536051565782631,0.24835107427713699,0.24793711971923696,0.2473284607771211,0.25638334522650835,0.2385657729615746,0.2385657729615746,0.2385657729615746,0.2385657729615746
5,0.021198837194775142,7,75,67,0.19237189264745608,0.2521105428901503,0.2476972457058347,0.25005822943899136,0.2501339819650215,0.2665294436233705,0.2665294436233705,0.2665294436233705,0.2665294436233705
6,0.060769524984994105,8,94,79,0.22314355131420976,0.25691341711733506,0.24181195752309834,0.24918088909269148,0.2520937362668764,0.3250406894504092,0.3250406894504092,0.3250406894504092,0.3250406894504092
7,-0.09991333014018645,8,112,90,0.22314355131420976,0.2537707075885698,0.24294741999397237,0.2500772682504478,0.2532046041670111,0.3227335138833992,0.3227335138833992,0.3227335138833992,0.3227335138833992
8,-0.01792506637925827,9,130,99,0.2548922496287901,0.25678039632568256,0.24207298210097097,0.24488198504277223,0.25626463653057296,0.3358132634509822,0.3358132634509822,0.3358132634509822,0.3358132634509822
9,-0.1645714689941181,10,145,112,0.2876820724517809,0.25025136858532304,0.2479341163273564,0.24757325911312403,0.25424125597419556,0.32451394663998806,0.32451394663998806,0.32451394663998806,0.32451394663998806
10,-0.039107845388962434,14,163,122,0.4307829160924542,0.24944590009192544,0.25006303055608914,0.2499588841590074,0.25053218519297954,0.35005732428973974,0.35005732428973974,0.35005732428973974,0.35005732428973974
11,-0.14734407386167056,17,174,133,0.5533852381847867,0.25193133154697944,0.2501559872924311,0.247177137313159,0.2507355438474322,0.38148133356187647,0.38148133356187647,0.38148133356187647,0.38148133356187647
12,-0.07039273506224838,17,188,143,0.5533852381847867,0.25335499772214476,0.24606599059617826,0.2432935364375424,0.25728547524413564,0.4038446714283755,0.4038446714283755,0.4038446714283755,0.4038446714283755
13,-0.12095481680544377,17,203,152,0.5533852381847867,0.25110526347266415,0.24775055390461986,0.24318731177494057,0.257956870847775,0.4264882427474877,0.4264882427474877,0.4264882427474877,0.4264882427474877
