iterations,aggregate_opinions,radicalised_agents,silenced_agents,negated_agents,radicalisation_logodds,layer_interdependences_A,layer_interdependences_B,layer_interdependences_C,layer_interdependences_D,layer_polarisations_A,layer_polarisations_B,layer_polarisations_C,layer_polarisations_D
1,0.020885454972257026,3,32,17,0.07796154146971185,0.2423719174837079,0.2514125012558902,0.25149759731973353,0.2547179839406667,0.13460307315561093,0.13460307315561093,0.13460307315561093,0.13460307315561093
2,-0.10314109585215306,6,65,32,0.1625189294977749,0.23576343273660721,0.25419548460932156,0.25559945312864774,0.2544416295254216,0.14446990351063335,0.14446990351063335,0.14446990351063335,0.14446990351063335
3,0.000263783928764115,7,93,45,0.19237189264745608,0.23552197139464678,0.262683619206905,0.24514224789713934,0.256652161501308,0.16323271442137327,0.16323271442137327,0.16323271442137327,0.16323271442137327
4,-0.0911106576967465,8,125,59,0.22314355131420976,0.23564363720089515,0.2665926837310966,0.23953744890077114,0.25822623016723645,0.19061508510975583,0.19061508510975583,0.19061508510975583,0.19061508510975583
5,-0.022931689573096402,10,155,70,0.2876820724517809,0.24276170481544054,0.2583806708922311,0.24608966249764927,0.2527679617946808,0.2572242607743342,0.2572242607743342,0.2572242607743342,0.2572242607743342
6,-0.11006157637792549,10,185,82,0.2876820724517809,0.2502230922537663,0.256235383858708,0.24270564958049706,0.2508358743070306,0.27688484732582286,0.27688484732582286,0.27688484732582286,0.27688484732582286
7,-0.008197892668276877,12,212,92,0.3566749439387324,0.25145325719971157,0.25865308909203133,0.23848772887311098,0.25140592483514657,0.25002914545658517,0.25002914545658517,0.25002914545658517,0.25002914545658517
8,0.019343712762236037,14,238,102,0.4307829160924542,0.2506564249143296,0.26052079318364396,0.23774049877719255,0.25108228312483455,0.2696749823241054,0.2696749823241054,0.2696749823241054,0.2696749823241054
9,0.0778507071178438,14,264,112,0.4307829160924542,0.24814225725697753,0.26083413023941276,0.2401895329990979,0.250834079504516,0.29766168580804403,0.29766168580804403,0.29766168580804403,0.29766168580804403
10,0.01748201924422422,14,289,121,0.4307829160924542,0.2460302000494139,0.26173138103132454,0.2416652277974855,0.2505731911217773,0.28514646356663953,0.28514646356663953,0.28514646356663953,0.28514646356663953
11,0.04178815143103108,14,314,129,0.4307829160924542,0.24834725542112704,0.26024955463675237,0.24271390889260458,0.24868928104951538,0.2858909539654595,0.2858909539654595,0.2858909539654595,0.2858909539654595
12,-0.05124210736780595,15,338,139,0.4700036292457355,0.24963220283978704,0.26183630146849757,0.24099300382842626,0.24753849186329072,0.2728185581587739,0.2728185581587739,0.2728185581587739,0.2728185581587739
13,0.02964936659052364,15,361,147,0.4700036292457355,0.25192596778048626,0.25966668115837105,0.24334724735735372,0.24506010370379244,0.30558147833787114,0.30558147833787114,0.30558147833787114,0.30558147833787114
14,-0.010377624612193215,16,383,155,0.5108256237659907,0.24844938868145106,0.25877956887534453,0.24673198801442223,0.24603905442878302,0.379063180145556,0.379063180145556,0.379063180145556,0.379063180145556
15,0.08276935184341228,16,406,164,0.5108256237659907,0.2445645796432639,0.2572365230136526,0.2495072506789682,0.2486916466641173,0.35690954302321204,0.35690954302321204,0.35690954302321204,0.35690954302321204
16,0.09428986322195305,16,430,173,0.5108256237659907,0.24702730118874178,0.25707897804613716,0.2499917834257198,0.24590193733940224,0.3931780261674392,0.3931780261674392,0.3931780261674392,0.3931780261674392
17,0.01670923714450031,18,452,180,0.5978370007556204,0.24477099931875038,0.2570633856655724,0.2503009682466208,0.2478646467690577,0.3854595109236112,0.3854595109236112,0.3854595109236112,0.3854595109236112
18,-0.029442954831318313,20,472,185,0.6931471805599453,0.24645976496245534,0.2572150190458518,0.24875211619476137,0.24757309979693293,0.3746575405159062,0.3746575405159062,0.3746575405159062,0.3746575405159062
19,-0.032430187640366606,20,492,190,0.6931471805599453,0.2444898168890759,0.25847041320251113,0.2488186847138374,0.24822108519457523,0.3800255068204176,0.3800255068204176,0.3800255068204176,0.3800255068204176
20,-0.04896871055303943,21,511,197,0.7444404749474959,0.2434429801464283,0.25446030442743234,0.24996385062588994,0.2521328648002493,0.4036396536051103,0.4036396536051103,0.4036396536051103,0.4036396536051103
21,-0.038951361081518684,21,530,203,0.7444404749474959,0.24596233629742212,0.25298473530560767,0.24662963232052243,0.2544232960764484,0.4147638518456045,0.4147638518456045,0.4147638518456045,0.4147638518456045
22,0.013623914128836196,22,548,207,0.7985076962177717,0.24444349062522927,0.25441855543329167,0.24445841632963206,0.25667953761184786,0.4561324494588807,0.4561324494588807,0.4561324494588807,0.4561324494588807
23,0.009545930578522932,23,565,211,0.8556661100577202,0.2458092259104234,0.25150286058820503,0.24294077783227883,0.25974713566909297,0.4153023587565215,0.4153023587565215,0.4153023587565215,0.4153023587565215
24,0.15366466361176925,25,578,215,0.9808292530117263,0.24711399412045493,0.24790493713851003,0.24881495625615815,0.256166112484876,0.4068883565781378,0.4068883565781378,0.4068883565781378,0.4068883565781378
25,0.1386982725460719,25,593,220,0.9808292530117263,0.25032604328444175,0.24854022859058003,0.24789173509249082,0.2532419930324889,0.4181845656885157,0.4181845656885157,0.4181845656885157,0.4181845656885157
26,0.2227884924070275,25,608,225,0.9808292530117263,0.2517100720346159,0.24976333414892668,0.2458990047690184,0.25262758904743926,0.37281269396964856,0.37281269396964856,0.37281269396964856,0.37281269396964856
27,0.2156308170929499,25,623,230,0.9808292530117263,0.2495590069544484,0.24956058147238794,0.2501174698335847,0.2507629417395789,0.36129322315558693,0.36129322315558693,0.36129322315558693,0.36129322315558693
28,0.23535285915617146,26,637,235,1.0498221244986778,0.25026360998417185,0.24820737939107776,0.24829015501587268,0.25323885560887627,0.33352804681644355,0.33352804681644355,0.33352804681644355,0.33352804681644355
29,0.2545499388862421,27,650,239,1.1239300966523997,0.24869195821318416,0.2487565379983851,0.24836495477823048,0.25418654901020105,0.350863335497825,0.350863335497825,0.350863335497825,0.350863335497825
30,0.14472274175298402,28,662,245,1.203972804325936,0.2482437844632675,0.2524599502851135,0.24930372374655027,0.24999254150507066,0.3758929324216349,0.3758929324216349,0.3758929324216349,0.3758929324216349
31,0.1853618103187469,29,673,250,1.2909841813155658,0.2486355240116629,0.25495009037118666,0.24819305123493807,0.24822133438221283,0.3791247547313678,0.3791247547313678,0.3791247547313678,0.3791247547313678
32,0.11499845656262316,29,684,256,1.2909841813155658,0.2500092342472635,0.2545581500270091,0.248243225737277,0.24718938998845133,0.3765076858134795,0.3765076858134795,0.3765076858134795,0.3765076858134795
33,0.15914764421903546,29,695,262,1.2909841813155658,0.24884490032771941,0.25470420601637445,0.25123014503784147,0.24522074861806392,0.3864987215593935,0.3864987215593935,0.3864987215593935,0.3864987215593935
34,0.15007740854425408,29,704,268,1.2909841813155658,0.2475862504307542,0.25654788399783235,0.24941501982862818,0.24645084574278428,0.3757533953100401,0.3757533953100401,0.3757533953100401,0.3757533953100401
35,0.19211035567649698,29,714,274,1.2909841813155658,0.24674774450110745,0.2554231559186526,0.2508771388380207,0.24695196074221856,0.37061488890187266,0.37061488890187266,0.37061488890187266,0.37061488890187266
36,0.2174585311618527,30,723,279,1.3862943611198906,0.2464218823700344,0.2551159200055472,0.2519874742915305,0.24647472333288786,0.3507609362714161,0.3507609362714161,0.3507609362714161,0.3507609362714161
37,0.12648458947656915,31,731,284,1.4916548767777171,0.24383960971286617,0.25813946733100945,0.2532018553072178,0.2448190676489059,0.34682146288331006,0.34682146288331006,0.34682146288331006,0.34682146288331006
38,0.10954644154615858,31,740,289,1.4916548767777171,0.2453426991847148,0.25834311143566374,0.2516084179683302,0.24470577141129185,0.33951769348747624,0.33951769348747624,0.33951769348747624,0.33951769348747624
39,0.12125591250654144,31,748,292,1.4916548767777171,0.24549302452086483,0.2562491907497437,0.25356597668752356,0.24469180804186744,0.42744347594246856,0.42744347594246856,0.42744347594246856,0.42744347594246856
40,0.16664790319466843,31,756,296,1.4916548767777171,0.24554010793285996,0.25760188429259745,0.2537422480483612,0.24311575972618157,0.4175553936635415,0.4175553936635415,0.4175553936635415,0.4175553936635415
41,0.08971288986287351,31,764,301,1.4916548767777171,0.24502448494027046,0.26046481959793283,0.2552632476453083,0.23924744781649027,0.3862521292761505,0.3862521292761505,0.3862521292761505,0.3862521292761505
42,0.1516780126143321,31,772,306,1.4916548767777171,0.24252935218044866,0.25989734012871024,0.256424330401396,0.2411489772894456,0.3798851796477411,0.3798851796477411,0.3798851796477411,0.3798851796477411
