iterations,aggregate_opinions,radicalised_agents,silenced_agents,negated_agents,radicalisation_logodds,layer_interdependences_A,layer_interdependences_B,layer_interdependences_C,layer_interdependences_D,layer_polarisations_A,layer_polarisations_B,layer_polarisations_C,layer_polarisations_D
1,-0.09260060883349074,15,85,40,0.1625189294977749,0.24674593516748378,0.25074083988507195,0.24969541988068808,0.2528178050667555,0.12938923247312947,0.12938923247312947,0.12938923247312947,0.12938923247312947
2,-0.12011010789519956,16,169,79,0.17435338714477777,0.2502123696610592,0.24811648426504204,0.25035018788213675,0.25132095819176126,0.16866922197483603,0.16866922197483603,0.16866922197483603,0.16866922197483603
3,-0.05734671173811309,17,252,117,0.18632957819149346,0.24740626008424935,0.24797288933849296,0.2530951735229667,0.2515256770542908,0.19157183949809375,0.19157183949809375,0.19157183949809375,0.19157183949809375
4,-0.16616594060938206,19,333,154,0.2107210313156526,0.2487708879937856,0.24845448375642426,0.2520252873284808,0.25074934092131046,0.255975828878837,0.255975828878837,0.255975828878837,0.255975828878837
5,-0.05398679036636899,21,412,192,0.23572233352106986,0.24815318215938575,0.24812808889852428,0.252369694065146,0.2513490348769451,0.3025749768175493,0.3025749768175493,0.3025749768175493,0.3025749768175493
6,-0.09156774287948333,25,487,227,0.2876820724517809,0.2486127253640709,0.24856503224364432,0.25349464123004406,0.2493276011622403,0.3457788144911805,0.3457788144911805,0.3457788144911805,0.3457788144911805
7,-0.030685033248969696,28,559,261,0.3285040669720361,0.24917791974255887,0.2480386345269182,0.2543979737722593,0.24838547195826782,0.36870514014248174,0.36870514014248174,0.36870514014248174,0.36870514014248174
8,-0.05258957433518377,30,629,297,0.3566749439387324,0.24886631503350107,0.24889782365736848,0.25348131072879015,0.2487545505803402,0.3681102239578181,0.3681102239578181,0.3681102239578181,0.3681102239578181
9,-0.0805196692795051,31,698,333,0.371063681390832,0.2471429996686544,0.24992266701984178,0.2530923898912019,0.24984194342030128,0.3473842997961603,0.3473842997961603,0.3473842997961603,0.3473842997961603
10,-0.08077742144720203,32,766,368,0.3856624808119847,0.24710409652997847,0.25011870499053374,0.25243294358603696,0.2503442548934496,0.32337495749297535,0.32337495749297535,0.32337495749297535,0.32337495749297535
11,-0.1289517126216033,35,831,404,0.4307829160924542,0.24916531775472553,0.2497019120042673,0.2515909811615831,0.24954178907942054,0.2902321500687601,0.2902321500687601,0.2902321500687601,0.2902321500687601
